"indicateur","rubrique","région","Unit","Date","Value"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Cascades","%","2018","1"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Centre","%","2018","0.3"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Centre-Est","%","2018","0.5"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Centre-Nord","%","2018","0.3"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Centre-Ouest","%","2018","1.2"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Centre-Sud","%","2018","0"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Est","%","2018","0.1"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Hauts Bassins","%","2018","4.5"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Nord","%","2018","0"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Plateau-Central","%","2018","5.1"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Sahel","%","2018","0"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Sud-Ouest","%","2018","0.3"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Burkina Faso","%","2018","1"
"Répartition des ménages selon le lieu d'aisance par région","Total","Boucle du Mouhoun","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Cascades","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Centre","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Centre-Est","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Centre-Nord","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Centre-Ouest","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Centre-Sud","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Est","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Hauts Bassins","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Nord","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Plateau-Central","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Sahel","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Sud-Ouest","%","2018","100"
"Répartition des ménages selon le lieu d'aisance par région","Total","Burkina Faso","%","2018","100"
