"indicateur","rubriques","région","Unit","Date","Value"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Nord","%","2005","30.2"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Nord","%","2007","32.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Nord","%","2018","47.5"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Plateau Central","%","2003","19"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Plateau Central","%","2005","30.7"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Plateau Central","%","2007","28.5"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Plateau Central","%","2018","57.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sahel","%","2003","7.7"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sahel","%","2005","17.9"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sahel","%","2007","20.8"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sahel","%","2018","31"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sud-Ouest","%","2003","9.3"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sud-Ouest","%","2005","13.2"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sud-Ouest","%","2007","11.9"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sud-Ouest","%","2018","43"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Burkina Faso","%","2003","23"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Burkina Faso","%","2005","30"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Burkina Faso","%","2007","32.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Burkina Faso","%","2018","57.3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Boucle du Mouhoun","%","2003","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Boucle du Mouhoun","%","2005","1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Boucle du Mouhoun","%","2007","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Boucle du Mouhoun","%","2018","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Cascades","%","2003","1.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Cascades","%","2005","1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Cascades","%","2007","2.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Cascades","%","2018","1.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre","%","2003","12.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre","%","2005","14.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre","%","2007","13.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre","%","2018","17.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Est","%","2003","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Est","%","2005","3.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Est","%","2007","1.6"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Est","%","2018","1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Nord","%","2003","0.8"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Nord","%","2005","1.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Nord","%","2007","0.9"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Nord","%","2018","0.8"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Ouest","%","2003","1.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Ouest","%","2005","2.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Ouest","%","2007","1.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Ouest","%","2018","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Sud","%","2003","0.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Sud","%","2005","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Sud","%","2007","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Sud","%","2018","0.3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Est","%","2003","0.9"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Est","%","2005","1.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Est","%","2007","0.6"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Est","%","2018","0.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Hauts-Bassins","%","2003","3.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Hauts-Bassins","%","2005","3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Hauts-Bassins","%","2007","3.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Hauts-Bassins","%","2018","3.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Nord","%","2003","0.3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Nord","%","2005","2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Nord","%","2007","1.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Nord","%","2018","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Plateau Central","%","2003","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Plateau Central","%","2005","1.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Plateau Central","%","2007","0.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Plateau Central","%","2018","1.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sahel","%","2003","0.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sahel","%","2005","0.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sahel","%","2007","0.8"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sahel","%","2018","0.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sud-Ouest","%","2003","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sud-Ouest","%","2005","0"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sud-Ouest","%","2007","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sud-Ouest","%","2018","2.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Burkina Faso","%","2003","2.3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Burkina Faso","%","2005","3.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Burkina Faso","%","2007","2.8"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Burkina Faso","%","2018","4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Boucle du Mouhoun","%","2003","68.7"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Boucle du Mouhoun","%","2005","70.1"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Boucle du Mouhoun","%","2007","69.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Boucle du Mouhoun","%","2018","50.2"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Cascades","%","2003","77.2"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Cascades","%","2005","88.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Cascades","%","2007","76.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Cascades","%","2018","48.5"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre","%","2003","87.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre","%","2005","87.4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre","%","2007","83.5"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre","%","2018","40.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Est","%","2003","57.6"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Est","%","2005","61"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Est","%","2007","62.4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Est","%","2018","37.4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Nord","%","2003","66"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Nord","%","2005","43.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Nord","%","2007","63.5"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Nord","%","2018","39.1"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Ouest","%","2003","69.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Ouest","%","2005","71.2"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Ouest","%","2007","65.3"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Ouest","%","2018","30.4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Sud","%","2003","57.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Sud","%","2005","56.6"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Sud","%","2007","68"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Sud","%","2018","55.3"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Est","%","2003","52.4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Est","%","2005","54"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Est","%","2007","66.3"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Est","%","2018","52"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Hauts-Bassins","%","2003","84.7"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Hauts-Bassins","%","2005","77.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Hauts-Bassins","%","2007","78.3"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Hauts-Bassins","%","2018","45.7"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Nord","%","2003","72.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Nord","%","2005","74.1"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Nord","%","2007","73.7"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Nord","%","2018","36.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Plateau Central","%","2003","68.7"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Plateau Central","%","2005","71.1"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Plateau Central","%","2007","69.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Plateau Central","%","2018","52.1"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Sahel","%","2003","45.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Sahel","%","2005","40.7"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Sahel","%","2007","57.2"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Sahel","%","2018","30.3"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Sud-Ouest","%","2003","48"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Sud-Ouest","%","2005","53.6"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Sud-Ouest","%","2007","55.3"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Sud-Ouest","%","2018","43.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Burkina Faso","%","2003","67.7"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Burkina Faso","%","2005","66.3"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Burkina Faso","%","2007","69.5"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Burkina Faso","%","2018","42.4"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Boucle du Mouhoun","%","2003","7.7"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Boucle du Mouhoun","%","2005","9.4"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Boucle du Mouhoun","%","2007","16.5"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Boucle du Mouhoun","%","2018","28.8"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Cascades","%","2003","5.1"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Cascades","%","2005","8.5"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Cascades","%","2007","13.7"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Cascades","%","2018","46.9"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre","%","2003","39.7"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre","%","2005","53.3"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre","%","2007","53.6"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre","%","2018","74.8"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Est","%","2003","6.8"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Est","%","2005","8.8"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Est","%","2007","9.2"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Est","%","2018","16.9"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Nord","%","2003","4.2"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Nord","%","2005","3.8"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Nord","%","2007","6.8"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Nord","%","2018","10"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Ouest","%","2003","5.2"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Ouest","%","2005","12.4"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Ouest","%","2007","12.7"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Ouest","%","2018","16.4"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Sud","%","2003","1.3"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Sud","%","2005","1.9"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Sud","%","2007","6.8"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Centre-Sud","%","2018","9.4"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Est","%","2003","3.1"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Est","%","2005","5.1"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Est","%","2007","6.2"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Est","%","2018","8.1"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Hauts-Bassins","%","2003","18.9"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Hauts-Bassins","%","2005","20.5"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Hauts-Bassins","%","2007","28.1"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Hauts-Bassins","%","2018","51.4"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Nord","%","2003","5.8"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Nord","%","2005","8.8"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Nord","%","2007","13"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Nord","%","2018","15.5"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Plateau Central","%","2003","2"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Plateau Central","%","2005","5"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Plateau Central","%","2007","9.1"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Plateau Central","%","2018","15.6"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Sahel","%","2003","1.4"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Sahel","%","2005","1.9"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Sahel","%","2007","3.5"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Sahel","%","2018","6.6"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Sud-Ouest","%","2003","2.4"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Sud-Ouest","%","2005","4.5"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Sud-Ouest","%","2007","5.5"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Sud-Ouest","%","2018","17.2"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Burkina Faso","%","2003","10"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Burkina Faso","%","2005","13.6"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Burkina Faso","%","2007","16.9"
"Pourcentage des ménages disposant de certains  biens par région","Téléviseur","Burkina Faso","%","2018","30.6"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Boucle du Mouhoun","%","2003","65.2"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Boucle du Mouhoun","%","2005","26.3"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Boucle du Mouhoun","%","2007","35.4"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Boucle du Mouhoun","%","2018","37.3"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Cascades","%","2003","55.2"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Cascades","%","2005","74.4"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Cascades","%","2007","68.8"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Cascades","%","2018","51.1"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre","%","2003","88.5"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre","%","2005","87.7"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre","%","2007","83.6"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre","%","2018","76.3"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Est","%","2003","47.8"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Est","%","2005","20.4"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Est","%","2007","35.2"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Est","%","2018","19"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Nord","%","2003","40.2"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Nord","%","2005","30.5"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Nord","%","2007","34.1"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Nord","%","2018","13.1"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Ouest","%","2003","49.8"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Ouest","%","2005","42.3"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Ouest","%","2007","31.3"
