"indicateur","region","rubrique","Unit","Date","Value"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Forage","%","2018","80"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Sources","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Fleuve/Rivière/Lac/Barrage","%","2018","0.7"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Eau en bouteille","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Vendeur ambulant","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Autre","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Total","%","2018","100"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Robinet privé","%","2018","2"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Borne fontaine/Robinet public","%","2018","24.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Puits ouverts","%","2018","6.7"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Puits couverts","%","2018","1.2"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Forage","%","2018","65.4"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Sources","%","2018","0.4"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Fleuve/Rivière/Lac/Barrage","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Eau en bouteille","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Vendeur ambulant","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Autre","%","2018","0.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Cascades","Total","%","2018","100"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Robinet privé","%","2018","4.3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Borne fontaine/Robinet public","%","2018","30"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Puits ouverts","%","2018","14.3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Puits couverts","%","2018","2.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Forage","%","2018","44.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Sources","%","2018","0.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Fleuve/Rivière/Lac/Barrage","%","2018","3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Eau en bouteille","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Vendeur ambulant","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Autre","%","2018","0.5"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Sud","Total","%","2018","100"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Robinet privé","%","2018","20.3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Borne fontaine/Robinet public","%","2018","20"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Puits ouverts","%","2018","15.9"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Puits couverts","%","2018","2.2"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Forage","%","2018","39.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Sources","%","2018","0.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Fleuve/Rivière/Lac/Barrage","%","2018","0.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Eau en bouteille","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Vendeur ambulant","%","2018","0.7"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Autre","%","2018","0.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Burkina Faso","Total","%","2018","100"
