domaine,chemin_relatif,format,nb_lignes,nb_colonnes,nb_valeurs_vides,ratio_valeurs_vides,colonnes,statut_analyse,message
population,data_raw/population/demographie/projection_provincial/TANNOUNYAN.xlsx - TANNOUNYAN.csv,csv,264,50,899,0.068106, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/TAPOA.xlsx - TAPOA.csv,csv,264,50,899,0.068106, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/YAADGA.xlsx - YAADGA.csv,csv,440,50,1499,0.068136, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/BANKUI.xlsx - BANKUI.csv,csv,85,50,151,0.035529,BANKUI |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/BURKINA FASO.xlsx - BURKINA FASO.csv,csv,85,50,151,0.035529,BURKINA FASO |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/DJÔRÔ.xlsx - DJÔRÔ.csv,csv,85,50,151,0.035529,DJÔRÔ |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/GOULMOU.xlsx - GOULMOU.csv,csv,85,50,151,0.035529,GOULMOU |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/GUIRIKO.xlsx - GUIRIKO.csv,csv,85,50,151,0.035529,GUIRIKO |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/KADIOGO.xlsx - KADIOGO.csv,csv,85,50,151,0.035529,KADIOGO |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/KOULSÉ.xlsx - KOULSÉ.csv,csv,85,50,151,0.035529,KOULSÉ |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/LIPTAKO.xlsx - LIPTAKO.csv,csv,85,50,151,0.035529,LIPTAKO |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/NAKAMBÉ.xlsx - NAKAMBÉ.csv,csv,85,50,151,0.035529,NAKAMBÉ |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/NANDO.xlsx - NANDO.csv,csv,85,50,151,0.035529,NANDO |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/NAZINON.xlsx - NAZINON.csv,csv,85,50,151,0.035529,NAZINON |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/OUBRI.xlsx - OUBRI.csv,csv,85,50,151,0.035529,OUBRI |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/SIRBA.xlsx - SIRBA.csv,csv,85,50,151,0.035529,SIRBA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/SOUM.xlsx - SOUM.csv,csv,85,50,151,0.035529,SOUM |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/SOUROU.xlsx - SOUROU.csv,csv,85,50,151,0.035529,SOUROU |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/TANNOUNYAN.xlsx - TANNOUNYAN.csv,csv,85,50,151,0.035529,TANNOUNYAN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
