indicateur,branche,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,source_fichier,domaine
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2008 T2,95.8,95.8,2008 T2,2008 T2,trimestrielle,2008,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2008 T3,85.8,85.8,2008 T3,2008 T3,trimestrielle,2008,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2008 T4,101.9,101.9,2008 T4,2008 T4,trimestrielle,2008,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2009 T1,103.4,103.4,2009 T1,2009 T1,trimestrielle,2009,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2009 T2,86.1,86.1,2009 T2,2009 T2,trimestrielle,2009,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2009 T3,74.2,74.2,2009 T3,2009 T3,trimestrielle,2009,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2009 T4,106.6,106.6,2009 T4,2009 T4,trimestrielle,2009,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2010 T1,97.1,97.1,2010 T1,2010 T1,trimestrielle,2010,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2010 T2,110.6,110.6,2010 T2,2010 T2,trimestrielle,2010,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2010 T3,106.4,106.4,2010 T3,2010 T3,trimestrielle,2010,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2010 T4,128.2,128.2,2010 T4,2010 T4,trimestrielle,2010,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2011 T1,162.7,162.7,2011 T1,2011 T1,trimestrielle,2011,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2011 T2,121.9,121.9,2011 T2,2011 T2,trimestrielle,2011,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2011 T3,112.1,112.1,2011 T3,2011 T3,trimestrielle,2011,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2011 T4,129.4,129.4,2011 T4,2011 T4,trimestrielle,2011,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
