indicateur,branche_d_activit,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,branche,trimestre,domaine_d_activit_s,sexe
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2011 T4,1022.0,1022.0,2011 T4,2011 T4,trimestrielle,2011,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2012 T1,1236.1,1236.1,2012 T1,2012 T1,trimestrielle,2012,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2012 T2,1055.9,1055.9,2012 T2,2012 T2,trimestrielle,2012,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2012 T3,1091.3,1091.3,2012 T3,2012 T3,trimestrielle,2012,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2012 T4,1275.2,1275.2,2012 T4,2012 T4,trimestrielle,2012,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2013 T1,1041.2,1041.2,2013 T1,2013 T1,trimestrielle,2013,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2013 T2,926.5,926.5,2013 T2,2013 T2,trimestrielle,2013,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2013 T3,814.9,814.9,2013 T3,2013 T3,trimestrielle,2013,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2013 T4,1119.7,1119.7,2013 T4,2013 T4,trimestrielle,2013,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2014 T1,1146.3,1146.3,2014 T1,2014 T1,trimestrielle,2014,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2014 T2,1019.9,1019.9,2014 T2,2014 T2,trimestrielle,2014,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2014 T3,897.1,897.1,2014 T3,2014 T3,trimestrielle,2014,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
