indicateur,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,source_onglet,region_destination,province_destination,commune_destination,hommes,femmes,enfants_de_moins_de_5_ans,enfants_de_plus_de_5_ans,total_enfants,total_individus,admin_1_pcode,admin_2_pcode,admin_3_pcode,date_donnn_e,enregistrement_des_personnes_deplacees_internes
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi,3_IDPs_SADD_estimates,,,,,,,,,,,,,,
