enregistrement_des_personnes_deplacees_internes,source_onglet,r_gion,total_pdi,pdi_hommes,pdi_femmes,pdi_enfants,pdi_personnes_g_es,pdi_personnes_avec_handicap,source_fichier,domaine
NAMENTENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAMENTENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAMENTENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAMENTENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAMENTENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANMATENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANMATENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANMATENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANMATENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANMATENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANMATENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANMATENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANMATENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANMATENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULKIEMDÉ,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANGUIE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANGUIE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANGUIE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANGUIE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANGUIE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANGUIE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANGUIE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SANGUIE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SISSILI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SISSILI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SISSILI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SISSILI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SISSILI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SISSILI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SISSILI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZIRO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZIRO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZIRO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZIRO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZIRO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAZEGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAZEGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAZEGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAZEGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAZEGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAZEGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAZEGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAHOURI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAHOURI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAHOURI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAHOURI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAHOURI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZOUNDWEOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZOUNDWEOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZOUNDWEOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZOUNDWEOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZOUNDWEOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZOUNDWEOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
ZOUNDWEOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GNAGNA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GNAGNA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GNAGNA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GNAGNA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GNAGNA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GNAGNA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GNAGNA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GOURMA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GOURMA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GOURMA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GOURMA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GOURMA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
GOURMA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOMONDJARI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOMONDJARI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOMPIENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOMPIENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TAPOA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TAPOA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TAPOA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TAPOA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TAPOA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
HOUET,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KENEDOUGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TUY,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TUY,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TUY,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TUY,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TUY,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
TUY,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
