"indicateur","branche","sexe","Unit","Date","Value"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Femme","%","2007","0.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Femme","%","2010","1.45985256211195"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Ensemble","%","2003","0.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Ensemble","%","2005","0.454786032438278"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Ensemble","%","2007","0.6"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Ensemble","%","2010","1.6961190935376"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Homme","%","2003","0.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Homme","%","2005","0.283065438270569"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Homme","%","2007","0.7"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Homme","%","2010","0.47998338376761"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Femme","%","2003","1.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Femme","%","2005","0.639423429965973"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Femme","%","2007","2.6"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Femme","%","2010","0.869462856657443"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Ensemble","%","2003","0.8"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Ensemble","%","2005","0.462644189596176"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Ensemble","%","2007","0.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des ménages, personnel domestique","Ensemble","%","2010","0.684234413434148"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Homme","%","2003","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Homme","%","2005","0.139555066823959"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Homme","%","2007","0.12"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Homme","%","2010","0.0261201203723648"
