,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOULKIEMDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,18,  6 453   ,  7 151   ,  13 604   ,  6 637   ,  6 989   ,  13 626   ,  6 958   ,  7 038   ,  13 996   ,  7 450   ,  7 287   ,  14 737   ,  7 846   ,  7 502   ,  15 348   ,  8 199   ,  7 750   ,  15 949   ,  8 670   ,  8 146   ,  16 816   ,  9 026   ,  8 454   ,  17 480   ,  9 309   ,  8 737   ,  18 046   ,  9 711   ,  9 145   ,  18 856   ,  10 013   ,  9 469   ,  19 482   ,  10 209   ,  9 685   ,  19 894   ,  10 477   ,  9 938   ,  20 415   ,  10 881   ,  10 283   ,  21 164   ,  11 308   ,  10 611   ,  21 919   ,  11 629   ,  10 820   ,  22 449   
,19,  6 039   ,  6 916   ,  12 955   ,  6 258   ,  6 891   ,  13 149   ,  6 437   ,  6 736   ,  13 173   ,  6 752   ,  6 782   ,  13 534   ,  7 233   ,  7 023   ,  14 256   ,  7 621   ,  7 231   ,  14 852   ,  8 000   ,  7 502   ,  15 502   ,  8 461   ,  7 885   ,  16 346   ,  8 781   ,  8 162   ,  16 943   ,  9 064   ,  8 432   ,  17 496   ,  9 446   ,  8 816   ,  18 262   ,  9 741   ,  9 130   ,  18 871   ,  9 936   ,  9 339   ,  19 275   ,  10 197   ,  9 584   ,  19 781   ,  10 594   ,  9 916   ,  20 510   ,  11 011   ,  10 233   ,  21 244   
,20,  5 573   ,  6 493   ,  12 066   ,  5 833   ,  6 676   ,  12 509   ,  6 045   ,  6 652   ,  12 697   ,  6 220   ,  6 503   ,  12 723   ,  6 528   ,  6 549   ,  13 077   ,  6 997   ,  6 781   ,  13 778   ,  7 406   ,  7 011   ,  14 417   ,  7 776   ,  7 274   ,  15 050   ,  8 204   ,  7 627   ,  15 831   ,  8 518   ,  7 893   ,  16 411   ,  8 784   ,  8 145   ,  16 929   ,  9 156   ,  8 516   ,  17 672   ,  9 444   ,  8 819   ,  18 263   ,  9 635   ,  9 023   ,  18 658   ,  9 891   ,  9 260   ,  19 151   ,  10 278   ,  9 581   ,  19 859   
,21,  5 241   ,  6 199   ,  11 440   ,  5 444   ,  6 410   ,  11 854   ,  5 700   ,  6 592   ,  12 292   ,  5 911   ,  6 568   ,  12 479   ,  6 085   ,  6 421   ,  12 506   ,  6 389   ,  6 468   ,  12 857   ,  6 881   ,  6 726   ,  13 607   ,  7 286   ,  6 955   ,  14 241   ,  7 631   ,  7 198   ,  14 829   ,  8 054   ,  7 543   ,  15 597   ,  8 355   ,  7 797   ,  16 152   ,  8 617   ,  8 047   ,  16 664   ,  8 984   ,  8 416   ,  17 400   ,  9 270   ,  8 716   ,  17 986   ,  9 459   ,  8 917   ,  18 376   ,  9 714   ,  9 153   ,  18 867   
,22,  4 808   ,  5 715   ,  10 523   ,  5 040   ,  6 057   ,  11 097   ,  5 238   ,  6 263   ,  11 501   ,  5 486   ,  6 442   ,  11 928   ,  5 693   ,  6 419   ,  12 112   ,  5 863   ,  6 276   ,  12 139   ,  6 184   ,  6 348   ,  12 532   ,  6 665   ,  6 602   ,  13 267   ,  7 040   ,  6 810   ,  13 850   ,  7 374   ,  7 044   ,  14 418   ,  7 777   ,  7 373   ,  15 150   ,  8 071   ,  7 622   ,  15 693   ,  8 325   ,  7 867   ,  16 192   ,  8 683   ,  8 227   ,  16 910   ,  8 963   ,  8 523   ,  17 486   ,  9 148   ,  8 720   ,  17 868   
,23,  4 382   ,  5 364   ,  9 746   ,  4 614   ,  5 716   ,  10 330   ,  4 839   ,  6 059   ,  10 898   ,  5 032   ,  6 266   ,  11 298   ,  5 274   ,  6 445   ,  11 719   ,  5 475   ,  6 423   ,  11 898   ,  5 665   ,  6 306   ,  11 971   ,  5 979   ,  6 377   ,  12 356   ,  6 432   ,  6 623   ,  13 055   ,  6 796   ,  6 827   ,  13 623   ,  7 115   ,  7 056   ,  14 171   ,  7 504   ,  7 386   ,  14 890   ,  7 790   ,  7 638   ,  15 428   ,  8 038   ,  7 884   ,  15 922   ,  8 388   ,  8 246   ,  16 634   ,  8 659   ,  8 542   ,  17 201   
,24,  4 027   ,  5 068   ,  9 095   ,  4 153   ,  5 254   ,  9 407   ,  4 377   ,  5 601   ,  9 978   ,  4 593   ,  5 937   ,  10 530   ,  4 779   ,  6 142   ,  10 921   ,  5 013   ,  6 318   ,  11 331   ,  5 228   ,  6 322   ,  11 550   ,  5 412   ,  6 209   ,  11 621   ,  5 701   ,  6 268   ,  11 969   ,  6 132   ,  6 500   ,  12 632   ,  6 474   ,  6 694   ,  13 168   ,  6 780   ,  6 918   ,  13 698   ,  7 155   ,  7 243   ,  14 398   ,  7 431   ,  7 491   ,  14 922   ,  7 670   ,  7 733   ,  15 403   ,  8 006   ,  8 088   ,  16 094   
,25,  3 773   ,  4 910   ,  8 683   ,  3 816   ,  4 998   ,  8 814   ,  3 938   ,  5 182   ,  9 120   ,  4 153   ,  5 525   ,  9 678   ,  4 362   ,  5 858   ,  10 220   ,  4 541   ,  6 060   ,  10 601   ,  4 786   ,  6 262   ,  11 048   ,  4 994   ,  6 268   ,  11 262   ,  5 158   ,  6 142   ,  11 300   ,  5 433   ,  6 194   ,  11 627   ,  5 841   ,  6 417   ,  12 258   ,  6 169   ,  6 609   ,  12 778   ,  6 463   ,  6 832   ,  13 295   ,  6 823   ,  7 155   ,  13 978   ,  7 088   ,  7 399   ,  14 487   ,  7 320   ,  7 639   ,  14 959   
,26,  3 521   ,  4 811   ,  8 332   ,  3 543   ,  4 872   ,  8 415   ,  3 585   ,  4 960   ,  8 545   ,  3 702   ,  5 145   ,  8 847   ,  3 907   ,  5 486   ,  9 393   ,  4 107   ,  5 819   ,  9 926   ,  4 295   ,  6 044   ,  10 339   ,  4 532   ,  6 246   ,  10 778   ,  4 717   ,  6 241   ,  10 958   ,  4 872   ,  6 109   ,  10 981   ,  5 129   ,  6 154   ,  11 283   ,  5 517   ,  6 378   ,  11 895   ,  5 829   ,  6 569   ,  12 398   ,  6 109   ,  6 791   ,  12 900   ,  6 453   ,  7 113   ,  13 566   ,  6 706   ,  7 357   ,  14 063   
,27,  3 368   ,  4 822   ,  8 190   ,  3 354   ,  4 823   ,  8 177   ,  3 377   ,  4 886   ,  8 263   ,  3 419   ,  4 976   ,  8 395   ,  3 533   ,  5 162   ,  8 695   ,  3 732   ,  5 506   ,  9 238   ,  3 942   ,  5 864   ,  9 806   ,  4 126   ,  6 094   ,  10 220   ,  4 342   ,  6 287   ,  10 629   ,  4 521   ,  6 273   ,  10 794   ,  4 666   ,  6 135   ,  10 801   ,  4 914   ,  6 182   ,  11 096   ,  5 287   ,  6 406   ,  11 693   ,  5 590   ,  6 600   ,  12 190   ,  5 862   ,  6 825   ,  12 687   ,  6 194   ,  7 149   ,  13 343   
