indicateur,statut_juridique,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,tranche_d_age,type,rubrique,localit
Nombre et coût de projets financés par type de fonds,,Nombre,2005,1457,1457,2005,2005,annuelle,2005,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2006,1797,1797,2006,2006,annuelle,2006,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2007,1808,1808,2007,2007,annuelle,2007,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2008,1741,1741,2008,2008,annuelle,2008,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2009,2885,2885,2009,2009,annuelle,2009,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2011,2104,2104,2011,2011,annuelle,2011,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2012,2290,2290,2012,2012,annuelle,2012,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2013,10615,10615,2013,2013,annuelle,2013,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2014,11566,11566,2014,2014,annuelle,2014,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2015,12550,12550,2015,2015,annuelle,2015,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2016,13032,13032,2016,2016,annuelle,2016,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2017,13326,13326,2017,2017,annuelle,2017,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2018,12702,12702,2018,2018,annuelle,2018,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2019,13792,13792,2019,2019,annuelle,2019,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2020,24192,24192,2020,2020,annuelle,2020,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2021,18477,18477,2021,2021,annuelle,2021,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2022,20349,20349,2022,2022,annuelle,2022,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2023,15106,15106,2023,2023,annuelle,2023,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,FCFA,2003,957000000,957000000,2003,2003,annuelle,2003,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2004,912300000,912300000,2004,2004,annuelle,2004,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2005,1310000000,1310000000,2005,2005,annuelle,2005,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2006,1522000000,1522000000,2006,2006,annuelle,2006,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2007,1426300000,1426300000,2007,2007,annuelle,2007,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2008,1461500000,1461500000,2008,2008,annuelle,2008,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2009,2465200000,2465200000,2009,2009,annuelle,2009,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2010,2170000000,2170000000,2010,2010,annuelle,2010,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2011,1370600000,1370600000,2011,2011,annuelle,2011,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2012,1636400000,1636400000,2012,2012,annuelle,2012,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2013,8802584000,8802584000,2013,2013,annuelle,2013,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2014,10008400000,10008400000,2014,2014,annuelle,2014,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2015,11837100000,11837100000,2015,2015,annuelle,2015,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2016,12122800000,12122800000,2016,2016,annuelle,2016,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2017,12731800000,12731800000,2017,2017,annuelle,2017,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2018,12189500000,12189500000,2018,2018,annuelle,2018,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2019,13459500000,13459500000,2019,2019,annuelle,2019,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2020,22963905000,22963905000,2020,2020,annuelle,2020,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2021,18099000000,18099000000,2021,2021,annuelle,2021,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2022,23431300000,23431300000,2022,2022,annuelle,2022,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2023,199469000,199469000,2023,2023,annuelle,2023,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Coût,
Nombre et coût de projets financés par type de fonds,,Nombre,2003,59,59,2003,2003,annuelle,2003,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2004,60,60,2004,2004,annuelle,2004,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2005,107,107,2005,2005,annuelle,2005,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2006,56,56,2006,2006,annuelle,2006,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2007,39,39,2007,2007,annuelle,2007,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2008,25,25,2008,2008,annuelle,2008,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2009,42,42,2009,2009,annuelle,2009,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2010,95,95,2010,2010,annuelle,2010,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2011,103,103,2011,2011,annuelle,2011,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2012,48,48,2012,2012,annuelle,2012,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2013,157,157,2013,2013,annuelle,2013,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2014,234,234,2014,2014,annuelle,2014,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2015,101,101,2015,2015,annuelle,2015,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2016,140,140,2016,2016,annuelle,2016,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2017,105,105,2017,2017,annuelle,2017,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2018,84,84,2018,2018,annuelle,2018,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2019,62,62,2019,2019,annuelle,2019,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2020,95,95,2020,2020,annuelle,2020,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2022,64,64,2022,2022,annuelle,2022,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
