indicateur,localit,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2011,98,98,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2012,143,143,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2013,195,195,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2014,305,305,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2015,211,211,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2016,406,406,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2017,431,431,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2018,359,359,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2019,366,366,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2020,393,393,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2021,439,439,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2022,417,417,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2023,427,427,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2010,49,49,2010,2010,annuelle,2010,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2011,61,61,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2012,81,81,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2013,108,108,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2014,180,180,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2015,122,122,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2016,208,208,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2017,291,291,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2018,255,255,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2019,247,247,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2020,235,235,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2021,193,193,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2022,156,156,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Fada N’Gourma,Nombre,2023,340,340,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2010,495,495,2010,2010,annuelle,2010,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2011,512,512,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2012,696,696,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2013,732,732,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2014,1133,1133,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2015,1040,1040,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2016,1787,1787,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2017,1635,1635,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2018,1640,1640,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2019,1508,1508,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2020,1793,1793,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2021,1715,1715,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2022,1862,1862,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Bobo-Dioulasso,Nombre,2023,2607,2607,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2010,105,105,2010,2010,annuelle,2010,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2011,181,181,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2012,182,182,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2013,235,235,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2014,305,305,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2015,228,228,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2016,467,467,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2017,496,496,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2018,428,428,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2019,413,413,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2020,445,445,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2021,479,479,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2022,438,438,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouahigouya,Nombre,2023,634,634,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2012,11,11,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2013,90,90,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2014,137,137,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2015,114,114,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
