indicateur,rubrique,r_gion,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Boucle du Mouhoun,%,2018,2.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Cascades,%,2018,9.9,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Centre,%,2018,10.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Centre-Est,%,2018,9.6,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Centre-Nord,%,2018,4.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Centre-Ouest,%,2018,2.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Centre-Sud,%,2018,2.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Est,%,2018,2.8,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Hauts Bassins,%,2018,1.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Nord,%,2018,2.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Plateau-Central,%,2018,6.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Sahel,%,2018,1.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Sud-Ouest,%,2018,2.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines ECOSAN,Burkina Faso,%,2018,4.7,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Boucle du Mouhoun,%,2018,5.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
