indicateur,rubrique,milieu,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),Milieu rural,%,2009,9.9,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),Milieu rural,%,2014,93.4,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),Milieu urbain,%,2003,93.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),Milieu urbain,%,2009,90.1,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),Milieu urbain,%,2014,6.6,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),Ensemble,%,2003,100.0,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),Ensemble,%,2009,100.0,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),Ensemble,%,2014,100.0,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Milieu rural,%,2003,2.4,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Milieu rural,%,2009,2.6,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Milieu rural,%,2014,4.0,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Milieu rural,%,2018,4.1,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Milieu urbain,%,2003,9.1,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Milieu urbain,%,2009,7.9,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Milieu urbain,%,2014,0.9,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Milieu urbain,%,2018,0.8,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
