indicateur,rubriques,r_gion,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Burkina Faso,%,2005,82.4,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Burkina Faso,%,2007,82.0,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Burkina Faso,%,2018,76.7,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Boucle du Mouhoun,%,2003,20.3,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Boucle du Mouhoun,%,2005,22.7,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Boucle du Mouhoun,%,2007,35.0,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Boucle du Mouhoun,%,2018,64.0,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Cascades,%,2003,41.0,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Cascades,%,2005,53.8,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Cascades,%,2007,50.2,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Cascades,%,2018,70.1,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre,%,2003,54.2,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre,%,2005,62.8,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre,%,2007,62.1,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre,%,2018,82.8,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Est,%,2003,11.9,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Est,%,2005,14.4,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Est,%,2007,18.1,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
