date,region,province,marche,categorie,produit,unit,statut_prix,type_prix,devise,prix_local,prix_usd,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
mai 1992,SAHEL,SÉNO,Dori,cereales et tubercules,mil,KG,observe,detail,XOF,89.25,0.21,mai 1992,mai 1992,mensuelle,1992,2,5,wfp_food_prices_bfa.csv,prix
mai 1992,SUD-OUEST,BOUGOURIBA,Diebougou,cereales et tubercules,mil,KG,observe,detail,XOF,82.0,0.2,mai 1992,mai 1992,mensuelle,1992,2,5,wfp_food_prices_bfa.csv,prix
juin 1992,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,71.5,0.17,juin 1992,juin 1992,mensuelle,1992,2,6,wfp_food_prices_bfa.csv,prix
juin 1992,CASCADES,COMOÉ,Banfora,cereales et tubercules,mil,KG,observe,detail,XOF,82.5,0.2,juin 1992,juin 1992,mensuelle,1992,2,6,wfp_food_prices_bfa.csv,prix
juin 1992,CENTRE,KADIOGO,Ouagadougo (Sankaryare),cereales et tubercules,mil,KG,observe,detail,XOF,94.67,0.23,juin 1992,juin 1992,mensuelle,1992,2,6,wfp_food_prices_bfa.csv,prix
juin 1992,CENTRE-EST,BOULGOU,Tenkodogo,cereales et tubercules,mil,KG,observe,detail,XOF,81.5,0.19,juin 1992,juin 1992,mensuelle,1992,2,6,wfp_food_prices_bfa.csv,prix
juin 1992,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,64.0,0.15,juin 1992,juin 1992,mensuelle,1992,2,6,wfp_food_prices_bfa.csv,prix
juin 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,71.0,0.17,juin 1992,juin 1992,mensuelle,1992,2,6,wfp_food_prices_bfa.csv,prix
juin 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,58.0,0.14,juin 1992,juin 1992,mensuelle,1992,2,6,wfp_food_prices_bfa.csv,prix
juin 1992,SAHEL,SÉNO,Dori,cereales et tubercules,mil,KG,observe,detail,XOF,93.33,0.22,juin 1992,juin 1992,mensuelle,1992,2,6,wfp_food_prices_bfa.csv,prix
