indicateur,r_gion,produits,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,aout 2025,515.348873496471,515.348873496471,aout 2025,aout 2025,mensuelle,2025,3,8,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,septembre 2025,335.652329244408,335.652329244408,septembre 2025,septembre 2025,mensuelle,2025,3,9,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,janvier 2024,649.209,649.209,janvier 2024,janvier 2024,mensuelle,2024,1,1,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,fevrier 2024,663.206,663.206,fevrier 2024,fevrier 2024,mensuelle,2024,1,2,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,mars 2024,610.465,610.465,mars 2024,mars 2024,mensuelle,2024,1,3,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,avril 2024,1053.96,1053.96,avril 2024,avril 2024,mensuelle,2024,2,4,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,mai 2024,86.2429,86.2429,mai 2024,mai 2024,mensuelle,2024,2,5,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,juin 2024,86.2429,86.2429,juin 2024,juin 2024,mensuelle,2024,2,6,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,juillet 2024,952.052,952.052,juillet 2024,juillet 2024,mensuelle,2024,3,7,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,aout 2024,172.936,172.936,aout 2024,aout 2024,mensuelle,2024,3,8,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,septembre 2024,106.733,106.733,septembre 2024,septembre 2024,mensuelle,2024,3,9,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,novembre 2024,413.93504319942,413.93504319942,novembre 2024,novembre 2024,mensuelle,2024,4,11,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,decembre 2024,600.764,600.764,decembre 2024,decembre 2024,mensuelle,2024,4,12,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,janvier 2025,396.474679969489,396.474679969489,janvier 2025,janvier 2025,mensuelle,2025,1,1,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,fevrier 2025,183.849443856266,183.849443856266,fevrier 2025,fevrier 2025,mensuelle,2025,1,2,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,mars 2025,93.2425748977108,93.2425748977108,mars 2025,mars 2025,mensuelle,2025,1,3,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,avril 2025,136.697247702958,136.697247702958,avril 2025,avril 2025,mensuelle,2025,2,4,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,mai 2025,166.708758047882,166.708758047882,mai 2025,mai 2025,mensuelle,2025,2,5,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,juin 2025,288.226462382394,288.226462382394,juin 2025,juin 2025,mensuelle,2025,2,6,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,juillet 2025,287.903775462901,287.903775462901,juillet 2025,juillet 2025,mensuelle,2025,3,7,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,aout 2025,163.836518027438,163.836518027438,aout 2025,aout 2025,mensuelle,2025,3,8,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles fraîches d'oseille,FCFA/kg,septembre 2025,147.610634248985,147.610634248985,septembre 2025,septembre 2025,mensuelle,2025,3,9,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,janvier 2024,1175.21,1175.21,janvier 2024,janvier 2024,mensuelle,2024,1,1,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,fevrier 2024,1219.41,1219.41,fevrier 2024,fevrier 2024,mensuelle,2024,1,2,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,mars 2024,1111.11,1111.11,mars 2024,mars 2024,mensuelle,2024,1,3,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,avril 2024,2768.45,2768.45,avril 2024,avril 2024,mensuelle,2024,2,4,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,mai 2024,716.145,716.145,mai 2024,mai 2024,mensuelle,2024,2,5,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,juin 2024,716.145,716.145,juin 2024,juin 2024,mensuelle,2024,2,6,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,juillet 2024,1464.22,1464.22,juillet 2024,juillet 2024,mensuelle,2024,3,7,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,aout 2024,1336.44,1336.44,aout 2024,aout 2024,mensuelle,2024,3,8,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,septembre 2024,1422.59,1422.59,septembre 2024,septembre 2024,mensuelle,2024,3,9,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,novembre 2024,1197.32410153044,1197.32410153044,novembre 2024,novembre 2024,mensuelle,2024,4,11,Prix moyens mensuels de quelques produits par région2.csv,prix
