localite,hommes,femmes,ensemble,age_urbain,age_rural,age_ensemble,age_urbain_1,age_rural_1,age_ensemble_1,age_urbain_2,age_rural_2,age_ensemble_2,age_urbain_3,age_rural_3,age_ensemble_3,age_urbain_4,age_rural_4,age_ensemble_4,age_urbain_5,age_rural_5,age_ensemble_5,age_urbain_6,age_rural_6,age_ensemble_6,age_urbain_7,age_rural_7,age_ensemble_7,age_urbain_8,age_rural_8,age_ensemble_8,age_urbain_9,age_rural_9,age_ensemble_9,age_urbain_10,age_rural_10,age_ensemble_10,age_urbain_11,age_rural_11,age_ensemble_11,age_urbain_12,age_rural_12,valeur,indicateur,annee,date_source,date,periode_normalisee,granularite_temporelle,source_fichier,domaine
52,9247.0,4605.0,4642.0,955.0,465.0,490.0,8292.0,4140.0,4152.0,3678.0,1795.0,1883.0,840.0,417.0,423.0,2838.0,1378.0,1460.0,14900.0,8088.0,6812.0,12334.0,6667.0,5667.0,2566.0,1421.0,1145.0,7151.0,3406.0,3745.0,1293.0,623.0,670.0,5858.0,2783.0,3075.0,7623.0,3663.0,3960.0,806.0,406.0,4642.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
53,8415.0,4244.0,4171.0,806.0,426.0,380.0,7609.0,3818.0,3791.0,3262.0,1613.0,1649.0,712.0,338.0,374.0,2550.0,1275.0,1275.0,13187.0,7181.0,6006.0,11077.0,6036.0,5041.0,2110.0,1145.0,965.0,6317.0,2904.0,3413.0,1072.0,523.0,549.0,5245.0,2381.0,2864.0,6993.0,3307.0,3686.0,713.0,362.0,4171.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
54,8581.0,4198.0,4383.0,851.0,418.0,433.0,7730.0,3780.0,3950.0,3202.0,1584.0,1618.0,697.0,328.0,369.0,2505.0,1256.0,1249.0,13203.0,6905.0,6298.0,11044.0,5834.0,5210.0,2159.0,1071.0,1088.0,6007.0,2825.0,3182.0,1055.0,513.0,542.0,4952.0,2312.0,2640.0,7190.0,3458.0,3732.0,710.0,338.0,4383.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
55,10191.0,4765.0,5426.0,967.0,513.0,454.0,9224.0,4252.0,4972.0,4066.0,1820.0,2246.0,816.0,382.0,434.0,3250.0,1438.0,1812.0,15772.0,8320.0,7452.0,12954.0,6880.0,6074.0,2818.0,1440.0,1378.0,8298.0,3686.0,4612.0,1617.0,742.0,875.0,6681.0,2944.0,3737.0,9096.0,4164.0,4932.0,949.0,441.0,5426.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
56,8202.0,4085.0,4117.0,758.0,367.0,391.0,7444.0,3718.0,3726.0,3305.0,1642.0,1663.0,729.0,345.0,384.0,2576.0,1297.0,1279.0,12194.0,6303.0,5891.0,10152.0,5326.0,4826.0,2042.0,977.0,1065.0,6331.0,2977.0,3354.0,1058.0,511.0,547.0,5273.0,2466.0,2807.0,7152.0,3520.0,3632.0,732.0,357.0,4117.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
57,7103.0,3511.0,3592.0,704.0,375.0,329.0,6399.0,3136.0,3263.0,2619.0,1257.0,1362.0,588.0,276.0,312.0,2031.0,981.0,1050.0,10980.0,5679.0,5301.0,9199.0,4815.0,4384.0,1781.0,864.0,917.0,5307.0,2538.0,2769.0,998.0,481.0,517.0,4309.0,2057.0,2252.0,6565.0,3118.0,3447.0,664.0,310.0,3592.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
58,6180.0,3164.0,3016.0,654.0,336.0,318.0,5526.0,2828.0,2698.0,2372.0,1123.0,1249.0,526.0,235.0,291.0,1846.0,888.0,958.0,9463.0,4935.0,4528.0,7907.0,4177.0,3730.0,1556.0,758.0,798.0,4631.0,2097.0,2534.0,824.0,358.0,466.0,3807.0,1739.0,2068.0,5235.0,2537.0,2698.0,546.0,260.0,3016.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
59,8003.0,3862.0,4141.0,669.0,313.0,356.0,7334.0,3549.0,3785.0,3551.0,1670.0,1881.0,722.0,348.0,374.0,2829.0,1322.0,1507.0,11158.0,5681.0,5477.0,9187.0,4767.0,4420.0,1971.0,914.0,1057.0,6963.0,3142.0,3821.0,1046.0,503.0,543.0,5917.0,2639.0,3278.0,7392.0,3476.0,3916.0,702.0,340.0,4141.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
60,12064.0,5085.0,6979.0,1011.0,509.0,502.0,11053.0,4576.0,6477.0,4419.0,1917.0,2502.0,781.0,385.0,396.0,3638.0,1532.0,2106.0,16745.0,8443.0,8302.0,13241.0,6921.0,6320.0,3504.0,1522.0,1982.0,12045.0,5120.0,6925.0,2080.0,988.0,1092.0,9965.0,4132.0,5833.0,13723.0,5996.0,7727.0,1264.0,602.0,6979.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
61,5174.0,2634.0,2540.0,526.0,247.0,279.0,4648.0,2387.0,2261.0,2025.0,1045.0,980.0,488.0,240.0,248.0,1537.0,805.0,732.0,7802.0,4145.0,3657.0,6412.0,3501.0,2911.0,1390.0,644.0,746.0,3863.0,1892.0,1971.0,656.0,292.0,364.0,3207.0,1600.0,1607.0,4417.0,2248.0,2169.0,417.0,212.0,2540.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
