indicateur,age,sexe,annee,date_source,date,periode_normalisee,granularite_temporelle,valeur,region,projection_type,source_fichier
population_projettee,1,ensemble,2022,2022,2022,2022,annuelle,41471.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2023,2023,2023,2023,annuelle,21455.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2023,2023,2023,2023,annuelle,20252.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2023,2023,2023,2023,annuelle,41707.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2024,2024,2024,2024,annuelle,21549.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2024,2024,2024,2024,annuelle,20340.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2024,2024,2024,2024,annuelle,41889.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2025,2025,2025,2025,annuelle,21623.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2025,2025,2025,2025,annuelle,20410.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2025,2025,2025,2025,annuelle,42033.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2026,2026,2026,2026,annuelle,21430.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2026,2026,2026,2026,annuelle,20229.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2026,2026,2026,2026,annuelle,41659.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2027,2027,2027,2027,annuelle,21234.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2027,2027,2027,2027,annuelle,20048.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2027,2027,2027,2027,annuelle,41282.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2028,2028,2028,2028,annuelle,21315.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2028,2028,2028,2028,annuelle,20132.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2028,2028,2028,2028,annuelle,41447.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2029,2029,2029,2029,annuelle,21440.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2029,2029,2029,2029,annuelle,20251.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2029,2029,2029,2029,annuelle,41691.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2030,2030,2030,2030,annuelle,21522.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2030,2030,2030,2030,annuelle,20328.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2030,2030,2030,2030,annuelle,41850.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2031,2031,2031,2031,annuelle,21586.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2031,2031,2031,2031,annuelle,20388.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2031,2031,2031,2031,annuelle,41974.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2032,2032,2032,2032,annuelle,21880.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2032,2032,2032,2032,annuelle,20668.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2032,2032,2032,2032,annuelle,42548.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2033,2033,2033,2033,annuelle,22186.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2033,2033,2033,2033,annuelle,20960.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2033,2033,2033,2033,annuelle,43146.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2034,2034,2034,2034,annuelle,22497.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2034,2034,2034,2034,annuelle,21253.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2034,2034,2034,2034,annuelle,43750.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2035,2035,2035,2035,annuelle,22803.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2035,2035,2035,2035,annuelle,21540.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2035,2035,2035,2035,annuelle,44343.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2020,2020,2020,2020,annuelle,20834.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2020,2020,2020,2020,annuelle,19826.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2020,2020,2020,2020,annuelle,40660.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2021,2021,2021,2021,annuelle,21171.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2021,2021,2021,2021,annuelle,20040.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2021,2021,2021,2021,annuelle,41211.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2022,2022,2022,2022,annuelle,21034.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2022,2022,2022,2022,annuelle,19855.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2022,2022,2022,2022,annuelle,40889.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
