localite,hommes,femmes,ensemble,age_ensemble,age_homme,age_femme,age_ensemble_1,age_homme_1,age_femme_1,valeur,indicateur,annee,date_source,date,periode_normalisee,granularite_temporelle,source_fichier,domaine
42,154752.0,76224.0,78528.0,48689.0,26638.0,22051.0,106063.0,49586.0,56477.0,78528.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
43,130987.0,65123.0,65864.0,40837.0,22427.0,18410.0,90150.0,42696.0,47454.0,65864.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
44,118560.0,58269.0,60291.0,36238.0,19526.0,16712.0,82322.0,38743.0,43579.0,60291.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
45,199516.0,96441.0,103075.0,57088.0,32843.0,24245.0,142428.0,63598.0,78830.0,103075.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
46,108074.0,52618.0,55456.0,31677.0,17143.0,14534.0,76397.0,35475.0,40922.0,55456.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
47,112167.0,55014.0,57153.0,32984.0,18037.0,14947.0,79183.0,36977.0,42206.0,57153.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
48,95634.0,46748.0,48886.0,28170.0,15338.0,12832.0,67464.0,31410.0,36054.0,48886.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
49,117178.0,55908.0,61270.0,30867.0,16470.0,14397.0,86311.0,39438.0,46873.0,61270.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
50,193020.0,87477.0,105543.0,45885.0,25241.0,20644.0,147135.0,62236.0,84899.0,105543.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
51,85387.0,41419.0,43968.0,22689.0,11955.0,10734.0,62698.0,29464.0,33234.0,43968.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
52,94090.0,46681.0,47409.0,25953.0,13604.0,12349.0,68137.0,33077.0,35060.0,47409.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
53,84398.0,41856.0,42542.0,23141.0,12099.0,11042.0,61257.0,29757.0,31500.0,42542.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
54,85152.0,41368.0,43784.0,23168.0,11761.0,11407.0,61984.0,29607.0,32377.0,43784.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
55,105037.0,48798.0,56239.0,27771.0,14158.0,13613.0,77266.0,34640.0,42626.0,56239.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
56,84214.0,41423.0,42791.0,21742.0,11083.0,10659.0,62472.0,30340.0,32132.0,42791.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
57,72323.0,35394.0,36929.0,19295.0,9775.0,9520.0,53028.0,25619.0,27409.0,36929.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
58,62475.0,30415.0,32060.0,16836.0,8459.0,8377.0,45639.0,21956.0,23683.0,32060.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
59,84368.0,39369.0,44999.0,20129.0,9953.0,10176.0,64239.0,29416.0,34823.0,44999.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
60,137135.0,59123.0,78012.0,30103.0,15022.0,15081.0,107032.0,44101.0,62931.0,78012.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
61,51571.0,25896.0,25675.0,13594.0,6957.0,6637.0,37977.0,18939.0,19038.0,25675.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
62,52905.0,26659.0,26246.0,13917.0,7162.0,6755.0,38988.0,19497.0,19491.0,26246.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
63,58578.0,29585.0,28993.0,14549.0,7351.0,7198.0,44029.0,22234.0,21795.0,28993.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
64,44120.0,22415.0,21705.0,11654.0,5919.0,5735.0,32466.0,16496.0,15970.0,21705.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
65,74388.0,33558.0,40830.0,17208.0,8302.0,8906.0,57180.0,25256.0,31924.0,40830.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
66,38790.0,20639.0,18151.0,9641.0,5036.0,4605.0,29149.0,15603.0,13546.0,18151.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
67,40521.0,21001.0,19520.0,9933.0,5033.0,4900.0,30588.0,15968.0,14620.0,19520.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
68,32648.0,16653.0,15995.0,7999.0,4001.0,3998.0,24649.0,12652.0,11997.0,15995.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
69,44928.0,22000.0,22928.0,9370.0,4599.0,4771.0,35558.0,17401.0,18157.0,22928.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
70,89214.0,36576.0,52638.0,16805.0,7331.0,9474.0,72409.0,29245.0,43164.0,52638.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
71,26923.0,14522.0,12401.0,6458.0,3263.0,3195.0,20465.0,11259.0,9206.0,12401.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
72,29931.0,15541.0,14390.0,7098.0,3494.0,3604.0,22833.0,12047.0,10786.0,14390.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
73,23951.0,12696.0,11255.0,5565.0,2742.0,2823.0,18386.0,9954.0,8432.0,11255.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
74,26236.0,13022.0,13214.0,5967.0,2733.0,3234.0,20269.0,10289.0,9980.0,13214.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
75,38722.0,16686.0,22036.0,7763.0,3200.0,4563.0,30959.0,13486.0,17473.0,22036.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
76,17596.0,9017.0,8579.0,3875.0,1819.0,2056.0,13721.0,7198.0,6523.0,8579.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
77,16715.0,8840.0,7875.0,3794.0,1803.0,1991.0,12921.0,7037.0,5884.0,7875.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
78,14254.0,7173.0,7081.0,3086.0,1423.0,1663.0,11168.0,5750.0,5418.0,7081.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
79,20355.0,9807.0,10548.0,3804.0,1646.0,2158.0,16551.0,8161.0,8390.0,10548.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
80 et +,152503.0,63908.0,88595.0,29094.0,11230.0,17864.0,123409.0,52678.0,70731.0,88595.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
Total,20505155.0,9900847.0,10604308.0,5360112.0,2613979.0,2746133.0,15145043.0,7286868.0,7858175.0,10604308.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
