indicateur,tranche_d_age,sexe,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Evolution de la population par groupes d'âge et par sexe,10-14,Ensemble,Nombre,1996,1380944.42925636,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Ensemble,Nombre,2006,1746588.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Ensemble,Nombre,2019,2687405.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Homme,Nombre,1960,179426.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Homme,Nombre,1975,281798.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Homme,Nombre,1985,392777.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Homme,Nombre,1991,488321.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Homme,Nombre,1996,536253.780143598,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Homme,Nombre,2006,710323.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Homme,Nombre,2019,1013507.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Femme,Nombre,1960,159026.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Femme,Nombre,1975,263161.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Femme,Nombre,1985,381370.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Femme,Nombre,1991,408660.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Femme,Nombre,1996,550596.158759351,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Femme,Nombre,2006,764962.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Femme,Nombre,2019,1135139.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Ensemble,Nombre,1960,338452.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Ensemble,Nombre,1975,544959.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Ensemble,Nombre,1985,774147.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Ensemble,Nombre,1991,896981.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Ensemble,Nombre,1996,1086849.93890295,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Ensemble,Nombre,2006,1475285.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,15 - 19,Ensemble,Nombre,2019,2148646.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,20 - 24,Homme,Nombre,1960,147568.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,20 - 24,Homme,Nombre,1975,187488.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,20 - 24,Homme,Nombre,1985,258655.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,20 - 24,Homme,Nombre,1991,307892.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,20 - 24,Homme,Nombre,1996,341581.683181886,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,20 - 24,Homme,Nombre,2006,530425.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,20 - 24,Homme,Nombre,2019,768875.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,20 - 24,Femme,Nombre,1960,210562.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
