annee,theme,indicateur,rubrique,region,unite,valeur
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),,%,94.5
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),,%,91.3
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),,%,6.0
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),,%,100.0
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),,%,100.0
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Burkina Faso,%,46.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Boucle du Mouhoun,%,60.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Cascades,%,39.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Centre,%,22.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Centre-Est,%,55.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Centre-Nord,%,34.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Centre-Ouest,%,41.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Centre-Sud,%,66.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Est,%,40.9
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Hauts-Bassins,%,34.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Nord,%,68.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Plateau Central,%,58.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Sahel,%,37.2
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_PO),Sud-Ouest,%,56.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Burkina Faso,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Boucle du Mouhoun,%,15.9
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Cascades,%,3.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Centre,%,4.9
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Centre-Est,%,9.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Centre-Nord,%,6.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Centre-Ouest,%,7.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Centre-Sud,%,6.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Est,%,7.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Hauts-Bassins,%,8.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Nord,%,12.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Plateau Central,%,7.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Sahel,%,4.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (AA_CTR),Sud-Ouest,%,6.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Burkina Faso,%,15.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Boucle du Mouhoun,%,21.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Cascades,%,14.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Centre,%,7.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Centre-Est,%,19.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Centre-Nord,%,8.2
