"indicateur","region","infrastructures","Unit","Date","Value"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical","Nombre","2022","9"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical","Nombre","2023","9"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre de Santé et de Promotion Sociale","Nombre","2017","223"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre de Santé et de Promotion Sociale","Nombre","2018","227"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre de Santé et de Promotion Sociale","Nombre","2019","228"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre de Santé et de Promotion Sociale","Nombre","2020","233"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre de Santé et de Promotion Sociale","Nombre","2021","257"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre de Santé et de Promotion Sociale","Nombre","2022","262"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre de Santé et de Promotion Sociale","Nombre","2023","264"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Dispensaire","Nombre","2017","21"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Dispensaire","Nombre","2018","25"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Dispensaire","Nombre","2019","21"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Dispensaire","Nombre","2020","21"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Dispensaire","Nombre","2021","9"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Dispensaire","Nombre","2022","5"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Dispensaire","Nombre","2023","5"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Maternités isolées","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Maternités isolées","Nombre","2018","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Maternités isolées","Nombre","2019","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Maternités isolées","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Maternités isolées","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Maternités isolées","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Maternités isolées","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Formation Sanitaire Privée","Nombre","2017","11"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Formation Sanitaire Privée","Nombre","2020","20"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Formation Sanitaire Privée","Nombre","2021","21"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Formation Sanitaire Privée","Nombre","2022","21"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","0fficines et Dépôts  privés","Nombre","2017","100"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","0fficines et Dépôts  privés","Nombre","2018","58"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","0fficines et Dépôts  privés","Nombre","2020","58"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","0fficines et Dépôts  privés","Nombre","2021","69"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","0fficines et Dépôts  privés","Nombre","2022","76"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Infirmerie de garnison","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Infirmerie de garnison","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Infirmerie de garnison","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Infirmerie/SST","Nombre","2017","6"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Infirmerie/SST","Nombre","2020","7"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Infirmerie/SST","Nombre","2021","6"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Infirmerie/SST","Nombre","2022","12"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Infirmerie/SST","Nombre","2023","13"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Autres (CREN,…)","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Universitaire","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Universitaire","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Universitaire","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Universitaire","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Universitaire","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Universitaire","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Universitaire","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Régional","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Régional","Nombre","2018","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Régional","Nombre","2019","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Régional","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Régional","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Régional","Nombre","2022","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Hospitalier Régional","Nombre","2023","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical avec Antenne chirurgicale","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical avec Antenne chirurgicale","Nombre","2018","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical avec Antenne chirurgicale","Nombre","2019","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical avec Antenne chirurgicale","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical avec Antenne chirurgicale","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical avec Antenne chirurgicale","Nombre","2022","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical avec Antenne chirurgicale","Nombre","2023","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical","Nombre","2017","4"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical","Nombre","2018","4"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical","Nombre","2019","5"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical","Nombre","2020","5"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical","Nombre","2021","5"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical","Nombre","2022","5"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre Médical","Nombre","2023","5"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre de Santé et de Promotion Sociale","Nombre","2017","89"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre de Santé et de Promotion Sociale","Nombre","2018","92"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre de Santé et de Promotion Sociale","Nombre","2019","90"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre de Santé et de Promotion Sociale","Nombre","2020","91"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre de Santé et de Promotion Sociale","Nombre","2021","93"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre de Santé et de Promotion Sociale","Nombre","2022","97"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Centre de Santé et de Promotion Sociale","Nombre","2023","98"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Dispensaire","Nombre","2017","6"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Dispensaire","Nombre","2018","7"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Dispensaire","Nombre","2019","6"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Dispensaire","Nombre","2020","6"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Dispensaire","Nombre","2021","3"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Dispensaire","Nombre","2022","2"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Dispensaire","Nombre","2023","2"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Maternités isolées","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Maternités isolées","Nombre","2018","0"
