"indicateur","localités","Unit","Date","Value"
"Densité par région et province des quatres derniers recensements","Bazega","Habitants/km2","1996","53.941473259334"
"Densité par région et province des quatres derniers recensements","Bazega","Habitants/km2","2006","60.1475782038345"
"Densité par région et province des quatres derniers recensements","Bazega","Habitants/km2","2019","71.2"
"Densité par région et province des quatres derniers recensements","Nahouri","Habitants/km2","1985","28.1507470651014"
"Densité par région et province des quatres derniers recensements","Nahouri","Habitants/km2","1996","31.9474386339381"
"Densité par région et province des quatres derniers recensements","Nahouri","Habitants/km2","2006","41.9079509071505"
"Densité par région et province des quatres derniers recensements","Nahouri","Habitants/km2","2019","51"
"Densité par région et province des quatres derniers recensements","Zoundweogo","Habitants/km2","1985","39.9694529297417"
"Densité par région et province des quatres derniers recensements","Zoundweogo","Habitants/km2","1996","54.743960011108"
"Densité par région et province des quatres derniers recensements","Zoundweogo","Habitants/km2","2006","68.2996389891697"
"Densité par région et province des quatres derniers recensements","Zoundweogo","Habitants/km2","2019","85.1"
"Densité par région et province des quatres derniers recensements","Région de l'Est","Habitants/km2","1985","13.545318854374"
"Densité par région et province des quatres derniers recensements","Région de l'Est","Habitants/km2","1996","18.4672925499697"
"Densité par région et province des quatres derniers recensements","Région de l'Est","Habitants/km2","2006","26.2240200744138"
"Densité par région et province des quatres derniers recensements","Région de l'Est","Habitants/km2","2019","41"
"Densité par région et province des quatres derniers recensements","Gnagna","Habitants/km2","1985","27.0545454545455"
"Densité par région et province des quatres derniers recensements","Gnagna","Habitants/km2","1996","36.289492325856"
"Densité par région et province des quatres derniers recensements","Gnagna","Habitants/km2","2006","48.2489964580874"
"Densité par région et province des quatres derniers recensements","Gnagna","Habitants/km2","2019","79.2"
"Densité par région et province des quatres derniers recensements","Gourma","Habitants/km2","1985","15.5867205024675"
"Densité par région et province des quatres derniers recensements","Gourma","Habitants/km2","1996","19.750201884253"
"Densité par région et province des quatres derniers recensements","Gourma","Habitants/km2","2006","27.4505159264244"
"Densité par région et province des quatres derniers recensements","Gourma","Habitants/km2","2019","39"
