"indicateur","tranche-d-age","sexe","Unit","Date","Value"
"Evolution de la population par groupes d'âge et par sexe","45 - 49","Femme","Nombre","2019","325840"
"Evolution de la population par groupes d'âge et par sexe","45 - 49","Ensemble","Nombre","1960","202538"
"Evolution de la population par groupes d'âge et par sexe","45 - 49","Ensemble","Nombre","1975","195958"
"Evolution de la population par groupes d'âge et par sexe","45 - 49","Ensemble","Nombre","1985","272949"
"Evolution de la population par groupes d'âge et par sexe","45 - 49","Ensemble","Nombre","1991","282562"
"Evolution de la population par groupes d'âge et par sexe","45 - 49","Ensemble","Nombre","1996","312877.552748349"
"Evolution de la population par groupes d'âge et par sexe","45 - 49","Ensemble","Nombre","2006","427739"
"Evolution de la population par groupes d'âge et par sexe","45 - 49","Ensemble","Nombre","2019","632569"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Homme","Nombre","1960","65144"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Homme","Nombre","1975","93179"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Homme","Nombre","1985","107130"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Homme","Nombre","1991","128477"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Homme","Nombre","1996","127561.170254991"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Homme","Nombre","2006","166281"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Homme","Nombre","2019","258801"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Femme","Nombre","1960","58832"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Femme","Nombre","1975","90920"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Femme","Nombre","1985","122016"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Femme","Nombre","1991","115042"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Femme","Nombre","1996","152876.562898631"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Femme","Nombre","2006","192529"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Femme","Nombre","2019","283246"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Ensemble","Nombre","1960","123976"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Ensemble","Nombre","1975","184099"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Ensemble","Nombre","1985","229146"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Ensemble","Nombre","1991","243519"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Ensemble","Nombre","1996","280437.733153622"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Ensemble","Nombre","2006","358810"
"Evolution de la population par groupes d'âge et par sexe","50 - 54","Ensemble","Nombre","2019","542047"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Homme","Nombre","1960","56887"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Homme","Nombre","1975","67203"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Homme","Nombre","1985","93400"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Homme","Nombre","1991","115561"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Homme","Nombre","1996","103339.500050705"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Homme","Nombre","2006","132254"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Homme","Nombre","2019","195399"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Femme","Nombre","1960","54027"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Femme","Nombre","1975","54214"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Femme","Nombre","1985","94502"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Femme","Nombre","1991","157750"
"Evolution de la population par groupes d'âge et par sexe","55 - 59","Femme","Nombre","1996","106201.646850925"
