"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4"
16130,"trTotalNumberMembers","If the ICT Regulatory Authority is a collegial body, what is the total number of members/commissioners (including the Head)?",,,33,"BFA","Burkina Faso","3, 5 or 7",2017,"","","",,,,
11767,"trRA_WhoAppointsMembers","Who appoints the members and the Head?",,,33,"BFA","Burkina Faso","President/Head of State",2018,"","","",,,,
21568,"trPowerToRemoveHead","Who has the power to remove the Head/ Commissioners?",,,33,"BFA","Burkina Faso","President/Head of State",2018,"","","",,,,
11739,"trNatBBPlan_Goal","Goals of National broadband plan",,,33,"BFA","Burkina Faso",,2018,"","","","Funding nonprofit anchor institutions (e.g., universities, libraries) or an National research and education network (NREN)","Promote the adoption of broadband services and applications ","Promote the provision of public services using broadband, such as","Build nationwide broadband infrastructure "
12575,"trNormalPeriodOfAppointment","What is the normal period of appointment for the members and the Head of the Regulatory Authority?",,,33,"BFA","Burkina Faso","Other",2018,"","","",,,,
21566,"trReasonsForRemoval","What are the reasons for removal?",,,33,"BFA","Burkina Faso",,2018,"","","","Failure to commit appropriate time to their duties","Conflict of interests","Misbehavior and/or abuse","Criminal or other offence"
11746,"trNatBBPlan_Financing","Financing of National broadband plan",,,33,"BFA","Burkina Faso",,2018,"","","","Public-private partnerships (PPPs)","Universal service fund",,
19268,"trFramework_ICT_accessibility","ICT accessibility policies",,,33,"BFA","Burkina Faso","There is no framework in place for the time being",2018,"","","",,,,
16130,"trTotalNumberMembers","If the ICT Regulatory Authority is a collegial body, what is the total number of members/commissioners (including the Head)?",,,33,"BFA","Burkina Faso","3, 5 or 7",2018,"","","",,,,
5340,"tpTelecom_Price_Retail_Mobile_InternationalRoaming","Price regulation of international retail roaming services (voice, SMS)",,,33,"BFA","Burkina Faso","Without price control",2018,"","","International retail roaming (voice, SMS)",,,,
5355,"tpTelecom_Price_Wholesale_InterconMobileOriginatio","Price regulation of interconnection: mobile origination services",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Interconnection: mobile origination",,,,
12661,"tpTelecom_Price_Retail_Mobile_DataRoaming","Price regulation of retail data roaming (Internet connection) services",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Retail data roaming (Internet connection)",,,,
5363,"tpTelecom_Price_Wholesale_IXP","Price regulation of access to Internet exchange points (IXPs)",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Access to Internet exchange points (IXPs)",,,,
20609,"tpTelecom_NationalDataTransit","Price regulation of national data transit",,,33,"BFA","Burkina Faso","Without price control",2018,"","","National data transit",,,,
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Retail voice",,,,
20335,"tpTelecom_Price_Retail_Video","Price regulation of OTT video",,,33,"BFA","Burkina Faso","Without price control",2018,"","","OTT video",,,,
5361,"tpTelecom_Price_Wholesale_LineRental","Price regulation of line rental",,,33,"BFA","Burkina Faso","With price control",2018,"","","Line rental",,,,
5362,"tpTelecom_Price_Wholesale_LeasedLines","Price regulation of leased lines",,,33,"BFA","Burkina Faso","With price control",2018,"","","Leased lines",,,,
5339,"tpTelecom_Price_Retail_Mobile_NationalRoaming","Price regulation of national retail roaming services (voice, SMS)",,,33,"BFA","Burkina Faso","Without price control",2018,"","","National retail roaming (voice, SMS)",,,,
5353,"tpTelecom_Price_Wholesale_InterconFixedOrigination","Price regulation of interconnection: fixed origination services",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Interconnection: fixed origination",,,,
20339,"tpTelecom_Price_Wholesale_Bitstream","Price regulation of Bitstream access",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Bitstream access",,,,
5358,"tpTelecom_Price_Wholesale_InternationalVoice","Price regulation of international voice roaming",,,33,"BFA","Burkina Faso","Without price control",2018,"","","International voice roaming",,,,
5359,"tpTelecom_Price_Wholesale_ULL","Price regulation of unbundled local loop",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Unbundled local loop",,,,
5356,"tpTelecom_Price_Wholesale_InterconMobileTerminatio","Price regulation of interconnection: mobile termination services",,,33,"BFA","Burkina Faso","With price control",2018,"","","Interconnection: mobile termination",,,,
5341,"tpTelecom_Price_Retial_Mobile_InternetAndData","Price regulation of retail Internet access and data services",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Retail Internet access & data",,,,
5338,"tpTelecom_Price_Retail_Mobile_SMS","Price regulation of retail SMS",,,33,"BFA","Burkina Faso","Without price control",2018,"","","SMS retail ",,,,
5364,"tpTelecom_Price_Wholesale_InternationalGateways","Price regulation of access to international gateways",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Access to international gateways",,,,
5354,"tpTelecom_Price_Wholesale_InterconFixedTermination","Price regulation of interconnection: fixed termination services",,,33,"BFA","Burkina Faso","With price control",2018,"","","Interconnection: fixed termination",,,,
20334,"tpTelecom_Price_Retail_OTT_Voice","Price regulation of OTT voice and messaging",,,33,"BFA","Burkina Faso","Without price control",2018,"","","OTT voice and messaging",,,,
20331,"tpTelecom_Price_Retail_Mobile_CallingCards","Price regulation of retail mobile calling cards",,,33,"BFA","Burkina Faso","Without price control",2018,"","","Retail mobile calling cards",,,,
5357,"tpTelecom_Price_Wholesale_NationalVoice","Price regulation of national voice roaming",,,33,"BFA","Burkina Faso","Without price control",2018,"","","National voice roaming",,,,
21568,"trPowerToRemoveHead","Who has the power to remove the Head/ Commissioners?",,,33,"BFA","Burkina Faso","President/Head of State",2019,"","","",,,,
11767,"trRA_WhoAppointsMembers","Who appoints the members and the Head?",,,33,"BFA","Burkina Faso","President/Head of State",2019,"","","",,,,
16130,"trTotalNumberMembers","If the ICT Regulatory Authority is a collegial body, what is the total number of members/commissioners (including the Head)?",,,33,"BFA","Burkina Faso","3, 5 or 7",2019,"","","",,,,
21566,"trReasonsForRemoval","What are the reasons for removal?",,,33,"BFA","Burkina Faso",,2019,"","","","Failure to commit appropriate time to their duties","Conflict of interests","Criminal or other offence","Misbehavior and/or abuse"
11739,"trNatBBPlan_Goal","Goals of National broadband plan",,,33,"BFA","Burkina Faso",,2019,"","","","Funding nonprofit anchor institutions (e.g., universities, libraries) or an National research and education network (NREN)","Promote the provision of public services using broadband, such as","Build nationwide broadband infrastructure ","Promote the adoption of broadband services and applications "
19268,"trFramework_ICT_accessibility","ICT accessibility policies",,,33,"BFA","Burkina Faso","There is no framework in place for the time being",2019,"","","",,,,
11746,"trNatBBPlan_Financing","Financing of National broadband plan",,,33,"BFA","Burkina Faso",,2019,"","","","Universal service fund","Public-private partnerships (PPPs)",,
12575,"trNormalPeriodOfAppointment","What is the normal period of appointment for the members and the Head of the Regulatory Authority?",,,33,"BFA","Burkina Faso","Other",2019,"","","",,,,
5339,"tpTelecom_Price_Retail_Mobile_NationalRoaming","Price regulation of national retail roaming services (voice, SMS)",,,33,"BFA","Burkina Faso","Without price control",2019,"","","National retail roaming (voice, SMS)",,,,
5354,"tpTelecom_Price_Wholesale_InterconFixedTermination","Price regulation of interconnection: fixed termination services",,,33,"BFA","Burkina Faso","With price control",2019,"","","Interconnection: fixed termination",,,,
20335,"tpTelecom_Price_Retail_Video","Price regulation of OTT video",,,33,"BFA","Burkina Faso","Without price control",2019,"","","OTT video",,,,
5363,"tpTelecom_Price_Wholesale_IXP","Price regulation of access to Internet exchange points (IXPs)",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Access to Internet exchange points (IXPs)",,,,
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Retail voice",,,,
5357,"tpTelecom_Price_Wholesale_NationalVoice","Price regulation of national voice roaming",,,33,"BFA","Burkina Faso","Without price control",2019,"","","National voice roaming",,,,
12661,"tpTelecom_Price_Retail_Mobile_DataRoaming","Price regulation of retail data roaming (Internet connection) services",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Retail data roaming (Internet connection)",,,,
20609,"tpTelecom_NationalDataTransit","Price regulation of national data transit",,,33,"BFA","Burkina Faso","Without price control",2019,"","","National data transit",,,,
5340,"tpTelecom_Price_Retail_Mobile_InternationalRoaming","Price regulation of international retail roaming services (voice, SMS)",,,33,"BFA","Burkina Faso","Without price control",2019,"","","International retail roaming (voice, SMS)",,,,
20339,"tpTelecom_Price_Wholesale_Bitstream","Price regulation of Bitstream access",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Bitstream access",,,,
5355,"tpTelecom_Price_Wholesale_InterconMobileOriginatio","Price regulation of interconnection: mobile origination services",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Interconnection: mobile origination",,,,
5358,"tpTelecom_Price_Wholesale_InternationalVoice","Price regulation of international voice roaming",,,33,"BFA","Burkina Faso","Without price control",2019,"","","International voice roaming",,,,
5338,"tpTelecom_Price_Retail_Mobile_SMS","Price regulation of retail SMS",,,33,"BFA","Burkina Faso","Without price control",2019,"","","SMS retail ",,,,
5361,"tpTelecom_Price_Wholesale_LineRental","Price regulation of line rental",,,33,"BFA","Burkina Faso","With price control",2019,"","","Line rental",,,,
5353,"tpTelecom_Price_Wholesale_InterconFixedOrigination","Price regulation of interconnection: fixed origination services",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Interconnection: fixed origination",,,,
5362,"tpTelecom_Price_Wholesale_LeasedLines","Price regulation of leased lines",,,33,"BFA","Burkina Faso","With price control",2019,"","","Leased lines",,,,
20334,"tpTelecom_Price_Retail_OTT_Voice","Price regulation of OTT voice and messaging",,,33,"BFA","Burkina Faso","Without price control",2019,"","","OTT voice and messaging",,,,
5356,"tpTelecom_Price_Wholesale_InterconMobileTerminatio","Price regulation of interconnection: mobile termination services",,,33,"BFA","Burkina Faso","With price control",2019,"","","Interconnection: mobile termination",,,,
5364,"tpTelecom_Price_Wholesale_InternationalGateways","Price regulation of access to international gateways",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Access to international gateways",,,,
5341,"tpTelecom_Price_Retial_Mobile_InternetAndData","Price regulation of retail Internet access and data services",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Retail Internet access & data",,,,
20331,"tpTelecom_Price_Retail_Mobile_CallingCards","Price regulation of retail mobile calling cards",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Retail mobile calling cards",,,,
5359,"tpTelecom_Price_Wholesale_ULL","Price regulation of unbundled local loop",,,33,"BFA","Burkina Faso","Without price control",2019,"","","Unbundled local loop",,,,
20331,"tpTelecom_Price_Retail_Mobile_CallingCards","Price regulation of retail mobile calling cards",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Retail mobile calling cards",,,,
20334,"tpTelecom_Price_Retail_OTT_Voice","Price regulation of OTT voice and messaging",,,33,"BFA","Burkina Faso","Without price control",2020,"","","OTT voice and messaging",,,,
5362,"tpTelecom_Price_Wholesale_LeasedLines","Price regulation of leased lines",,,33,"BFA","Burkina Faso","With price control",2020,"","","Leased lines",,,,
20609,"tpTelecom_NationalDataTransit","Price regulation of national data transit",,,33,"BFA","Burkina Faso","Without price control",2020,"","","National data transit",,,,
12661,"tpTelecom_Price_Retail_Mobile_DataRoaming","Price regulation of retail data roaming (Internet connection) services",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Retail data roaming (Internet connection)",,,,
5353,"tpTelecom_Price_Wholesale_InterconFixedOrigination","Price regulation of interconnection: fixed origination services",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Interconnection: fixed origination",,,,
5357,"tpTelecom_Price_Wholesale_NationalVoice","Price regulation of national voice roaming",,,33,"BFA","Burkina Faso","Without price control",2020,"","","National voice roaming",,,,
5356,"tpTelecom_Price_Wholesale_InterconMobileTerminatio","Price regulation of interconnection: mobile termination services",,,33,"BFA","Burkina Faso","With price control",2020,"","","Interconnection: mobile termination",,,,
5338,"tpTelecom_Price_Retail_Mobile_SMS","Price regulation of retail SMS",,,33,"BFA","Burkina Faso","Without price control",2020,"","","SMS retail ",,,,
5358,"tpTelecom_Price_Wholesale_InternationalVoice","Price regulation of international voice roaming",,,33,"BFA","Burkina Faso","Without price control",2020,"","","International voice roaming",,,,
