LIPTAKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,21,  5 383   ,  6 031   ,  11 414   ,  5 594   ,  6 235   ,  11 829   ,  5 860   ,  6 413   ,  12 273   ,  6 077   ,  6 390   ,  12 467   ,  6 255   ,  6 250   ,  12 505   ,  6 565   ,  6 297   ,  12 862   ,  7 032   ,  6 521   ,  13 553   ,  7 405   ,  6 715   ,  14 120   ,  9 148   ,  8 216   ,  17 364   ,  9 694   ,  8 662   ,  18 356   ,  10 022   ,  8 943   ,  18 965   ,  10 335   ,  9 250   ,  19 585   ,  10 774   ,  9 696   ,  20 470   ,  11 112   ,  10 065   ,  21 177   ,  11 330   ,  10 319   ,  21 649   ,  11 625   ,  10 614   ,  22 239   
,22,  5 223   ,  5 931   ,  11 154   ,  5 479   ,  6 285   ,  11 764   ,  5 696   ,  6 498   ,  12 194   ,  5 967   ,  6 685   ,  12 652   ,  6 191   ,  6 663   ,  12 854   ,  6 373   ,  6 518   ,  12 891   ,  6 687   ,  6 563   ,  13 250   ,  7 166   ,  6 799   ,  13 965   ,  8 929   ,  8 290   ,  17 219   ,  9 391   ,  8 627   ,  18 018   ,  9 869   ,  9 019   ,  18 888   ,  10 241   ,  9 346   ,  19 587   ,  10 563   ,  9 668   ,  20 231   ,  11 012   ,  10 134   ,  21 146   ,  11 358   ,  10 520   ,  21 878   ,  11 582   ,  10 786   ,  22 368   
,23,  4 743   ,  5 175   ,  9 918   ,  4 997   ,  5 515   ,  10 512   ,  5 244   ,  5 846   ,  11 090   ,  5 452   ,  6 046   ,  11 498   ,  5 715   ,  6 222   ,  11 937   ,  5 930   ,  6 203   ,  12 133   ,  6 102   ,  6 064   ,  12 166   ,  6 405   ,  6 108   ,  12 513   ,  8 128   ,  7 499   ,  15 627   ,  8 622   ,  7 777   ,  16 399   ,  8 994   ,  8 026   ,  17 020   ,  9 488   ,  8 422   ,  17 910   ,  9 847   ,  8 728   ,  18 575   ,  10 156   ,  9 029   ,  19 185   ,  10 590   ,  9 464   ,  20 054   ,  10 924   ,  9 825   ,  20 749   
,24,  4 625   ,  4 996   ,  9 621   ,  4 775   ,  5 179   ,  9 954   ,  5 033   ,  5 521   ,  10 554   ,  5 283   ,  5 853   ,  11 136   ,  5 496   ,  6 056   ,  11 552   ,  5 763   ,  6 234   ,  11 997   ,  5 978   ,  6 211   ,  12 189   ,  6 154   ,  6 074   ,  12 228   ,  7 647   ,  7 250   ,  14 897   ,  8 257   ,  7 564   ,  15 821   ,  8 688   ,  7 779   ,  16 467   ,  9 098   ,  8 059   ,  17 157   ,  9 599   ,  8 458   ,  18 057   ,  9 964   ,  8 765   ,  18 729   ,  10 278   ,  9 068   ,  19 346   ,  10 719   ,  9 505   ,  20 224   
,25,  4 577   ,  4 914   ,  9 491   ,  4 631   ,  5 002   ,  9 633   ,  4 782   ,  5 187   ,  9 969   ,  5 044   ,  5 531   ,  10 575   ,  5 297   ,  5 866   ,  11 163   ,  5 512   ,  6 071   ,  11 583   ,  5 778   ,  6 246   ,  12 024   ,  5 997   ,  6 226   ,  12 223   ,  7 306   ,  7 213   ,  14 519   ,  7 726   ,  7 317   ,  15 043   ,  8 277   ,  7 571   ,  15 848   ,  8 742   ,  7 816   ,  16 558   ,  9 156   ,  8 098   ,  17 254   ,  9 662   ,  8 499   ,  18 161   ,  10 030   ,  8 809   ,  18 839   ,  10 349   ,  9 113   ,  19 462   
,26,  4 517   ,  4 782   ,  9 299   ,  4 549   ,  4 842   ,  9 391   ,  4 604   ,  4 931   ,  9 535   ,  4 755   ,  5 114   ,  9 869   ,  5 018   ,  5 456   ,  10 474   ,  5 272   ,  5 788   ,  11 060   ,  5 485   ,  5 988   ,  11 473   ,  5 753   ,  6 162   ,  11 915   ,  7 067   ,  7 278   ,  14 345   ,  7 328   ,  7 168   ,  14 496   ,  7 686   ,  7 211   ,  14 897   ,  8 267   ,  7 490   ,  15 757   ,  8 734   ,  7 734   ,  16 468   ,  9 149   ,  8 012   ,  17 161   ,  9 657   ,  8 409   ,  18 066   ,  10 027   ,  8 717   ,  18 744   
,27,  4 523   ,  4 701   ,  9 224   ,  4 507   ,  4 703   ,  9 210   ,  4 541   ,  4 765   ,  9 306   ,  4 597   ,  4 853   ,  9 450   ,  4 750   ,  5 036   ,  9 786   ,  5 015   ,  5 374   ,  10 389   ,  5 269   ,  5 699   ,  10 968   ,  5 484   ,  5 897   ,  11 381   ,  6 807   ,  7 193   ,  14 000   ,  7 117   ,  7 221   ,  14 338   ,  7 319   ,  7 052   ,  14 371   ,  7 708   ,  7 122   ,  14 830   ,  8 293   ,  7 398   ,  15 691   ,  8 763   ,  7 639   ,  16 402   ,  9 182   ,  7 916   ,  17 098   ,  9 694   ,  8 309   ,  18 003   
,28,  4 600   ,  4 791   ,  9 391   ,  4 439   ,  4 664   ,  9 103   ,  4 424   ,  4 667   ,  9 091   ,  4 458   ,  4 729   ,  9 187   ,  4 514   ,  4 819   ,  9 333   ,  4 666   ,  5 002   ,  9 668   ,  4 926   ,  5 336   ,  10 262   ,  5 178   ,  5 661   ,  10 839   ,  6 378   ,  6 942   ,  13 320   ,  6 740   ,  7 197   ,  13 937   ,  6 990   ,  7 166   ,  14 156   ,  7 217   ,  7 026   ,  14 243   ,  7 601   ,  7 096   ,  14 697   ,  8 181   ,  7 372   ,  15 553   ,  8 648   ,  7 613   ,  16 261   ,  9 063   ,  7 889   ,  16 952   
,29,  4 521   ,  4 690   ,  9 211   ,  4 445   ,  4 681   ,  9 126   ,  4 289   ,  4 558   ,  8 847   ,  4 275   ,  4 562   ,  8 837   ,  4 309   ,  4 626   ,  8 935   ,  4 365   ,  4 715   ,  9 080   ,  4 510   ,  4 891   ,  9 401   ,  4 765   ,  5 220   ,  9 985   ,  5 930   ,  6 564   ,  12 494   ,  6 218   ,  6 843   ,  13 061   ,  6 518   ,  7 036   ,  13 554   ,  6 786   ,  7 031   ,  13 817   ,  7 006   ,  6 894   ,  13 900   ,  7 382   ,  6 963   ,  14 345   ,  7 948   ,  7 235   ,  15 183   ,  8 404   ,  7 472   ,  15 876   
,30,  4 297   ,  4 362   ,  8 659   ,  4 332   ,  4 496   ,  8 828   ,  4 258   ,  4 488   ,  8 746   ,  4 109   ,  4 371   ,  8 480   ,  4 096   ,  4 377   ,  8 473   ,  4 130   ,  4 439   ,  8 569   ,  4 181   ,  4 522   ,  8 703   ,  4 323   ,  4 694   ,  9 017   ,  5 410   ,  5 940   ,  11 350   ,  5 730   ,  6 348   ,  12 078   ,  5 960   ,  6 563   ,  12 523   ,  6 272   ,  6 773   ,  13 045   ,  6 532   ,  6 770   ,  13 302   ,  6 745   ,  6 638   ,  13 383   ,  7 108   ,  6 705   ,  13 813   ,  7 656   ,  6 967   ,  14 623   
