KOULSÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,18,  15 352   ,  19 242   ,  34 594   ,  15 865   ,  18 899   ,  34 764   ,  16 717   ,  19 117   ,  35 834   ,  17 987   ,  19 888   ,  37 875   ,  19 028   ,  20 569   ,  39 597   ,  19 969   ,  21 348   ,  41 317   ,  21 098   ,  22 423   ,  43 521   ,  21 941   ,  23 262   ,  45 203   ,  24 690   ,  26 247   ,  50 937   ,  25 872   ,  27 613   ,  53 485   ,  26 769   ,  28 711   ,  55 480   ,  27 403   ,  29 505   ,  56 908   ,  28 228   ,  30 420   ,  58 648   ,  29 427   ,  31 616   ,  61 043   ,  30 686   ,  32 778   ,  63 464   ,  31 663   ,  33 572   ,  65 235   
,19,  14 555   ,  19 299   ,  33 854   ,  15 159   ,  19 315   ,  34 474   ,  15 669   ,  18 972   ,  34 641   ,  16 513   ,  19 193   ,  35 706   ,  17 773   ,  19 968   ,  37 741   ,  18 805   ,  20 651   ,  39 456   ,  19 721   ,  21 414   ,  41 135   ,  20 841   ,  22 494   ,  43 335   ,  23 598   ,  25 426   ,  49 024   ,  24 464   ,  26 401   ,  50 865   ,  25 583   ,  27 715   ,  53 298   ,  26 487   ,  28 836   ,  55 323   ,  27 117   ,  29 635   ,  56 752   ,  27 936   ,  30 555   ,  58 491   ,  29 125   ,  31 759   ,  60 884   ,  30 373   ,  32 923   ,  63 296   
,20,  13 187   ,  18 225   ,  31 412   ,  13 870   ,  18 830   ,  32 700   ,  14 449   ,  18 847   ,  33 296   ,  14 937   ,  18 513   ,  33 450   ,  15 747   ,  18 730   ,  34 477   ,  16 953   ,  19 486   ,  36 439   ,  17 927   ,  20 135   ,  38 062   ,  18 805   ,  20 881   ,  39 686   ,  21 644   ,  23 901   ,  45 545   ,  22 576   ,  24 861   ,  47 437   ,  23 358   ,  25 759   ,  49 117   ,  24 443   ,  27 060   ,  51 503   ,  25 311   ,  28 157   ,  53 468   ,  25 915   ,  28 939   ,  54 854   ,  26 700   ,  29 838   ,  56 538   ,  27 839   ,  31 012   ,  58 851   
,21,  12 583   ,  17 577   ,  30 160   ,  13 135   ,  18 258   ,  31 393   ,  13 821   ,  18 867   ,  32 688   ,  14 401   ,  18 886   ,  33 287   ,  14 892   ,  18 552   ,  33 444   ,  15 704   ,  18 769   ,  34 473   ,  16 898   ,  19 510   ,  36 408   ,  17 875   ,  20 162   ,  38 037   ,  20 425   ,  22 785   ,  43 210   ,  21 652   ,  23 998   ,  45 650   ,  22 541   ,  24 910   ,  47 451   ,  23 337   ,  25 827   ,  49 164   ,  24 427   ,  27 135   ,  51 562   ,  25 297   ,  28 237   ,  53 534   ,  25 904   ,  29 023   ,  54 927   ,  26 691   ,  29 923   ,  56 614   
,22,  11 517   ,  15 845   ,  27 362   ,  12 134   ,  16 870   ,  29 004   ,  12 671   ,  17 526   ,  30 197   ,  13 337   ,  18 112   ,  31 449   ,  13 902   ,  18 131   ,  32 033   ,  14 379   ,  17 809   ,  32 188   ,  15 155   ,  18 001   ,  33 156   ,  16 316   ,  18 714   ,  35 030   ,  18 802   ,  21 073   ,  39 875   ,  19 785   ,  21 909   ,  41 694   ,  20 935   ,  23 029   ,  43 964   ,  21 811   ,  23 920   ,  45 731   ,  22 586   ,  24 803   ,  47 389   ,  23 645   ,  26 061   ,  49 706   ,  24 492   ,  27 121   ,  51 613   ,  25 081   ,  27 873   ,  52 954   
,23,  10 685   ,  14 648   ,  25 333   ,  11 309   ,  15 683   ,  26 992   ,  11 921   ,  16 702   ,  28 623   ,  12 452   ,  17 353   ,  29 805   ,  13 112   ,  17 935   ,  31 047   ,  13 672   ,  17 953   ,  31 625   ,  14 132   ,  17 618   ,  31 750   ,  14 902   ,  17 809   ,  32 711   ,  17 490   ,  20 193   ,  37 683   ,  18 562   ,  20 921   ,  39 483   ,  19 498   ,  21 709   ,  41 207   ,  20 649   ,  22 834   ,  43 483   ,  21 517   ,  23 721   ,  45 238   ,  22 286   ,  24 599   ,  46 885   ,  23 336   ,  25 848   ,  49 184   ,  24 174   ,  26 898   ,  51 072   
,24,  10 073   ,  13 666   ,  23 739   ,  10 443   ,  14 234   ,  24 677   ,  11 059   ,  15 244   ,  26 303   ,  11 663   ,  16 236   ,  27 899   ,  12 189   ,  16 871   ,  29 060   ,  12 840   ,  17 437   ,  30 277   ,  13 381   ,  17 440   ,  30 821   ,  13 838   ,  17 116   ,  30 954   ,  15 903   ,  18 869   ,  34 772   ,  17 181   ,  19 666   ,  36 847   ,  18 203   ,  20 336   ,  38 539   ,  19 137   ,  21 117   ,  40 254   ,  20 273   ,  22 214   ,  42 487   ,  21 131   ,  23 079   ,  44 210   ,  21 890   ,  23 934   ,  45 824   ,  22 925   ,  25 148   ,  48 073   
,25,  9 841   ,  13 358   ,  23 199   ,  10 002   ,  13 662   ,  23 664   ,  10 375   ,  14 233   ,  24 608   ,  10 992   ,  15 246   ,  26 238   ,  11 599   ,  16 241   ,  27 840   ,  12 126   ,  16 877   ,  29 003   ,  12 770   ,  17 429   ,  30 199   ,  13 314   ,  17 434   ,  30 748   ,  15 002   ,  18 656   ,  33 658   ,  15 871   ,  18 908   ,  34 779   ,  17 120   ,  19 670   ,  36 790   ,  18 155   ,  20 354   ,  38 509   ,  19 092   ,  21 139   ,  40 231   ,  20 232   ,  22 240   ,  42 472   ,  21 092   ,  23 107   ,  44 199   ,  21 853   ,  23 963   ,  45 816   
,26,  9 411   ,  12 772   ,  22 183   ,  9 521   ,  12 996   ,  22 517   ,  9 680   ,  13 294   ,  22 974   ,  10 044   ,  13 852   ,  23 896   ,  10 648   ,  14 841   ,  25 489   ,  11 241   ,  15 810   ,  27 051   ,  11 748   ,  16 416   ,  28 164   ,  12 378   ,  16 955   ,  29 333   ,  14 063   ,  18 497   ,  32 560   ,  14 588   ,  18 199   ,  32 787   ,  15 409   ,  18 409   ,  33 818   ,  16 637   ,  19 164   ,  35 801   ,  17 649   ,  19 835   ,  37 484   ,  18 565   ,  20 601   ,  39 166   ,  19 679   ,  21 676   ,  41 355   ,  20 520   ,  22 520   ,  43 040   
,27,  9 227   ,  12 660   ,  21 887   ,  9 237   ,  12 725   ,  21 962   ,  9 348   ,  12 952   ,  22 300   ,  9 507   ,  13 251   ,  22 758   ,  9 869   ,  13 811   ,  23 680   ,  10 469   ,  14 798   ,  25 267   ,  11 049   ,  15 753   ,  26 802   ,  11 553   ,  16 359   ,  27 912   ,  13 263   ,  18 429   ,  31 692   ,  13 873   ,  18 483   ,  32 356   ,  14 367   ,  18 151   ,  32 518   ,  15 190   ,  18 373   ,  33 563   ,  16 409   ,  19 131   ,  35 540   ,  17 413   ,  19 802   ,  37 215   ,  18 322   ,  20 570   ,  38 892   ,  19 427   ,  21 643   ,  41 070   
,28,  9 489   ,  13 050   ,  22 539   ,  9 198   ,  12 764   ,  21 962   ,  9 209   ,  12 833   ,  22 042   ,  9 323   ,  13 065   ,  22 388   ,  9 484   ,  13 369   ,  22 853   ,  9 850   ,  13 935   ,  23 785   ,  10 446   ,  14 920   ,  25 366   ,  11 031   ,  15 887   ,  26 918   ,  12 567   ,  17 993   ,  30 560   ,  13 285   ,  18 636   ,  31 921   ,  13 874   ,  18 655   ,  32 529   ,  14 380   ,  18 333   ,  32 713   ,  15 208   ,  18 561   ,  33 769   ,  16 436   ,  19 330   ,  35 766   ,  17 448   ,  20 011   ,  37 459   ,  18 362   ,  20 787   ,  39 149   
