TAPOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,18,  5 671   ,  6 619   ,  12 290   ,  5 890   ,  6 539   ,  12 429   ,  6 237   ,  6 652   ,  12 889   ,  6 741   ,  6 958   ,  13 699   ,  7 164   ,  7 235   ,  14 399   ,  7 550   ,  7 546   ,  15 096   ,  8 010   ,  7 965   ,  15 975   ,  8 364   ,  8 302   ,  16 666   ,  8 881   ,  8 848   ,  17 729   ,  9 323   ,  9 334   ,  18 657   ,  9 701   ,  9 769   ,  19 470   ,  9 968   ,  10 086   ,  20 054   ,  10 307   ,  10 446   ,  20 753   ,  10 785   ,  10 905   ,  21 690   ,  11 288   ,  11 355   ,  22 643   ,  11 690   ,  11 678   ,  23 368   
,19,  5 306   ,  6 560   ,  11 866   ,  5 553   ,  6 604   ,  12 157   ,  5 768   ,  6 523   ,  12 291   ,  6 107   ,  6 635   ,  12 742   ,  6 602   ,  6 940   ,  13 542   ,  7 016   ,  7 213   ,  14 229   ,  7 388   ,  7 516   ,  14 904   ,  7 838   ,  7 933   ,  15 771   ,  8 375   ,  8 469   ,  16 844   ,  8 698   ,  8 818   ,  17 516   ,  9 148   ,  9 318   ,  18 466   ,  9 507   ,  9 741   ,  19 248   ,  9 769   ,  10 056   ,  19 825   ,  10 102   ,  10 414   ,  20 516   ,  10 571   ,  10 871   ,  21 442   ,  11 065   ,  11 317   ,  22 382   
,20,  4 929   ,  6 336   ,  11 265   ,  5 210   ,  6 585   ,  11 795   ,  5 454   ,  6 628   ,  12 082   ,  5 664   ,  6 547   ,  12 211   ,  5 998   ,  6 658   ,  12 656   ,  6 485   ,  6 962   ,  13 447   ,  6 886   ,  7 229   ,  14 115   ,  7 252   ,  7 532   ,  14 784   ,  7 876   ,  8 143   ,  16 019   ,  8 231   ,  8 493   ,  16 724   ,  8 564   ,  8 859   ,  17 423   ,  8 996   ,  9 350   ,  18 346   ,  9 350   ,  9 773   ,  19 123   ,  9 609   ,  10 089   ,  19 698   ,  9 937   ,  10 447   ,  20 384   ,  10 399   ,  10 903   ,  21 302   
,21,  4 560   ,  5 842   ,  10 402   ,  4 784   ,  6 103   ,  10 887   ,  5 058   ,  6 343   ,  11 401   ,  5 295   ,  6 384   ,  11 679   ,  5 500   ,  6 304   ,  11 804   ,  5 825   ,  6 410   ,  12 235   ,  6 294   ,  6 695   ,  12 989   ,  6 684   ,  6 952   ,  13 636   ,  7 207   ,  7 421   ,  14 628   ,  7 654   ,  7 837   ,  15 491   ,  8 013   ,  8 189   ,  16 202   ,  8 328   ,  8 530   ,  16 858   ,  8 750   ,  9 003   ,  17 753   ,  9 095   ,  9 410   ,  18 505   ,  9 348   ,  9 713   ,  19 061   ,  9 667   ,  10 057   ,  19 724   
,22,  4 206   ,  5 378   ,  9 584   ,  4 453   ,  5 759   ,  10 212   ,  4 673   ,  6 017   ,  10 690   ,  4 941   ,  6 252   ,  11 193   ,  5 174   ,  6 291   ,  11 465   ,  5 374   ,  6 211   ,  11 585   ,  5 688   ,  6 308   ,  11 996   ,  6 148   ,  6 589   ,  12 737   ,  6 685   ,  7 008   ,  13 693   ,  7 047   ,  7 307   ,  14 354   ,  7 499   ,  7 731   ,  15 230   ,  7 843   ,  8 067   ,  15 910   ,  8 152   ,  8 404   ,  16 556   ,  8 566   ,  8 868   ,  17 434   ,  8 906   ,  9 269   ,  18 175   ,  9 153   ,  9 566   ,  18 719   
,23,  3 817   ,  4 849   ,  8 666   ,  4 060   ,  5 222   ,  9 282   ,  4 300   ,  5 593   ,  9 893   ,  4 513   ,  5 843   ,  10 356   ,  4 774   ,  6 071   ,  10 845   ,  4 999   ,  6 107   ,  11 106   ,  5 188   ,  6 022   ,  11 210   ,  5 493   ,  6 117   ,  11 610   ,  6 083   ,  6 551   ,  12 634   ,  6 468   ,  6 806   ,  13 274   ,  6 833   ,  7 109   ,  13 942   ,  7 263   ,  7 512   ,  14 775   ,  7 597   ,  7 840   ,  15 437   ,  7 898   ,  8 166   ,  16 064   ,  8 300   ,  8 617   ,  16 917   ,  8 631   ,  9 005   ,  17 636   
,24,  3 665   ,  4 737   ,  8 402   ,  3 818   ,  4 963   ,  8 781   ,  4 063   ,  5 345   ,  9 408   ,  4 305   ,  5 725   ,  10 030   ,  4 519   ,  5 980   ,  10 499   ,  4 781   ,  6 211   ,  10 992   ,  5 003   ,  6 243   ,  11 246   ,  5 195   ,  6 156   ,  11 351   ,  5 634   ,  6 410   ,  12 044   ,  6 097   ,  6 699   ,  12 796   ,  6 497   ,  6 973   ,  13 470   ,  6 856   ,  7 275   ,  14 131   ,  7 290   ,  7 688   ,  14 978   ,  7 627   ,  8 022   ,  15 649   ,  7 930   ,  8 355   ,  16 285   ,  8 336   ,  8 816   ,  17 152   
,25,  3 572   ,  4 628   ,  8 200   ,  3 649   ,  4 761   ,  8 410   ,  3 803   ,  4 988   ,  8 791   ,  4 049   ,  5 372   ,  9 421   ,  4 291   ,  5 753   ,  10 044   ,  4 505   ,  6 008   ,  10 513   ,  4 764   ,  6 235   ,  10 999   ,  4 987   ,  6 266   ,  11 253   ,  5 302   ,  6 334   ,  11 636   ,  5 620   ,  6 437   ,  12 057   ,  6 097   ,  6 741   ,  12 838   ,  6 490   ,  7 008   ,  13 498   ,  6 850   ,  7 311   ,  14 161   ,  7 286   ,  7 726   ,  15 012   ,  7 624   ,  8 061   ,  15 685   ,  7 928   ,  8 395   ,  16 323   
,26,  3 528   ,  4 640   ,  8 168   ,  3 587   ,  4 749   ,  8 336   ,  3 664   ,  4 885   ,  8 549   ,  3 820   ,  5 118   ,  8 938   ,  4 068   ,  5 512   ,  9 580   ,  4 313   ,  5 902   ,  10 215   ,  4 526   ,  6 158   ,  10 684   ,  4 788   ,  6 391   ,  11 179   ,  5 133   ,  6 585   ,  11 718   ,  5 334   ,  6 496   ,  11 830   ,  5 666   ,  6 615   ,  12 281   ,  6 141   ,  6 919   ,  13 060   ,  6 539   ,  7 193   ,  13 732   ,  6 904   ,  7 504   ,  14 408   ,  7 346   ,  7 930   ,  15 276   ,  7 688   ,  8 273   ,  15 961   
,27,  3 443   ,  4 539   ,  7 982   ,  3 464   ,  4 589   ,  8 053   ,  3 522   ,  4 697   ,  8 219   ,  3 598   ,  4 832   ,  8 430   ,  3 752   ,  5 063   ,  8 815   ,  3 998   ,  5 452   ,  9 450   ,  4 236   ,  5 832   ,  10 068   ,  4 448   ,  6 085   ,  10 533   ,  4 818   ,  6 475   ,  11 293   ,  5 049   ,  6 512   ,  11 561   ,  5 258   ,  6 437   ,  11 695   ,  5 580   ,  6 547   ,  12 127   ,  6 051   ,  6 848   ,  12 899   ,  6 445   ,  7 119   ,  13 564   ,  6 807   ,  7 427   ,  14 234   ,  7 243   ,  7 847   ,  15 090   
