"indicateur","région","produits","Unit","Date","Value"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2025M5","25000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2025M6","25000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2025M7","23999.9999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2025M8","23999.9999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2025M9","19999.9999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M1","218.371"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M2","210.931"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M3","227.778"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M4","252.027"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M5","201.622"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M6","201.622"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M7","436.025"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M8","283.929"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M9","293.741"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M10","289.759"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M11","288.675134594811"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2024M12","234.535"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2025M1","243.721273999746"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2025M2","261.247140175864"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2025M3","275.09212216215"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2025M4","256.379606273054"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2025M5","256.767092861028"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2025M6","262.577133515532"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2025M7","262.207823349997"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2025M8","214.061286013948"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc","FCFA/kg","2025M9","191.187232064027"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M1","247.601"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M2","267.111"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M3","250.125"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M4","304.04"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M5","266.618"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M6","266.618"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M7","435.526"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M8","400"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M9","338.723"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M10","336.381"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M11","354.284125214934"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2024M12","413.842"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2025M1","351.932816482168"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2025M2","355.657076984169"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2025M3","349.470222373351"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2025M4","368.915495078894"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2025M5","298.483260525236"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2025M6","313.15308326198"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2025M7","295.487759168517"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2025M8","238.966837899094"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)","FCFA/kg","2025M9","233.378753387139"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M1","20500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M2","26000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M3","26000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M4","28000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M5","30000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M6","30000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M7","35000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M8","35000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M9","35000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M11","28000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2024M12","28000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2025M1","30000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2025M2","30000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2025M3","32500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2025M4","36000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2025M5","32000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2025M6","32000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2025M7","27500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2025M8","27500"
