"indicateur","localité","Unit","Date","Value"
"Création des entreprises enregistrées au CEFORE par localité","Manga","Nombre","2021","126"
"Création des entreprises enregistrées au CEFORE par localité","Manga","Nombre","2022","138"
"Création des entreprises enregistrées au CEFORE par localité","Manga","Nombre","2023","176"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2010","4570"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2011","4949"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2012","5928"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2013","7180"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2014","8561"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2015","7564"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2016","11661"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2017","12609"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2018","12511"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2019","13137"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2020","15643"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2021","16890"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2022","17545"
"Création des entreprises enregistrées au CEFORE par localité","Ensemble","Nombre","2023","21787"
