"indicateur","décès","Unit","Date","Value"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2018","12"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2019","3"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2020","1"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2021","8"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2022","10"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2023","4"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2024","46"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2014","3"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2015","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2016","1"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2017","3"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2018","3"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2019","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2020","5"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2021","5"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2022","11"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2023","6"
"Evolution des cas et des décès des maladies épidémiques","Cas de TNN","Nombre","2024","7"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2014","2"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2015","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2016","1"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2017","3"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2018","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2019","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2020","4"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2021","3"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2022","7"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2023","2"
"Evolution des cas et des décès des maladies épidémiques","Décès de TNN","Nombre","2024","3"
