"indicateur","commune","rubrique","Unit","Date","Value"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Ensemble","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Public","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pa","Privé","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Ensemble","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Ensemble","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Public","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Pompoi","Privé","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Ensemble","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Ensemble","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Public","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Poura","Privé","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Ensemble","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Ensemble","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Public","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Siby","Privé","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Ensemble","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Ensemble","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Public","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Yaho","Privé","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Ensemble","Nombre","2021","1"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Ensemble","Nombre","2022","28"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Public","Nombre","2021","1"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Public","Nombre","2022","17"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Banwa","Privé","Nombre","2022","11"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Ensemble","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Ensemble","Nombre","2022","3"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Public","Nombre","2022","2"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Privé","Nombre","2021","0"
